y-axis,value1,value2,value3,value4
0,21180,21,19446,15
0,21144,21,19416,14
0,21097,22,19366,14
0,21065,20,19304,14
0,21037,21,19198,15
0,21075,21,19154,12
0,21122,21,19104,15
0,21164,21,19055,15
0,21232,21,19080,14
0,21232,21,19129,15
10,21425,22,19181,14
10,21104,22,19570,15
10,21095,22,19601,15
10,20795,22,19849,14
10,20926,22,19683,14
10,20935,20,19630,14
10,21256,21,19218,14
10,21342,20,19203,15
10,21457,23,19055,15
10,21256,22,19196,16
20,21560,22,18913,16
20,21010,22,19429,15
20,20606,23,19847,15
20,20514,21,19961,15
20,20583,22,19898,15
20,20624,19,19908,15
20,21117,22,19447,15
20,21374,21,19212,15
20,21515,22,19069,14
20,21496,21,19079,14
30,21646,22,18874,14
30,21039,21,19608,15
30,20731,23,19965,14
30,20739,22,19973,14
30,20516,21,20113,14
30,20476,22,20082,14
30,21029,22,19369,15
30,21038,22,19250,15
30,21225,23,19089,13
30,21344,21,18998,15
40,21451,23,18851,14
40,20743,23,19502,15
40,20510,21,19720,16
40,20397,24,19940,15
40,20283,22,20210,16
40,20543,23,19988,15
40,21047,22,19451,16
40,21081,22,19343,15
40,21378,21,18953,15
40,21423,24,18768,18
50,21246,21,19098,15
50,20715,22,19483,15
50,20406,23,19713,15
50,20310,23,19840,16
50,20336,24,19915,16
50,20540,24,19768,17
50,20979,24,19388,17
50,21204,24,19212,16
50,21445,24,18906,15
50,21304,25,18943,18
60,21277,24,18793,16
60,20690,24,19313,16
60,20462,26,19630,16
60,20334,23,19768,17
60,20281,24,19864,15
60,20425,24,19752,15
60,20888,25,19395,16
60,21093,24,19239,16
60,21270,24,19076,15
60,21243,24,19101,16
70,21383,26,18977,17
70,20844,26,19469,16
70,20405,25,19797,16
70,20270,25,19837,16
70,20204,26,19923,17
70,20365,25,19917,16
70,20937,25,19454,16
70,21120,26,19343,17
70,21342,24,19094,16
70,21342,24,19018,18
80,21460,25,18864,17
80,20790,24,19525,17
80,20522,27,19964,17
80,20507,26,20091,18
80,20380,25,20251,17
80,20428,25,20093,18
80,20838,27,19535,17
80,21006,25,19309,17
80,21182,27,19094,18
80,21303,25,19004,18
90,21358,26,19285,17
90,20811,26,19789,17
90,20406,27,20020,18
90,20328,24,20135,17
90,20185,27,20290,19
90,20413,25,20122,17
90,20963,26,19656,18
90,21169,26,19515,18
90,21473,26,19254,18
90,21591,27,19153,19
100,21471,29,19329,18
100,20898,28,19893,18
100,20587,26,20188,19
100,20491,27,20288,18
100,20431,27,20307,18
100,20690,26,20032,18
100,21051,28,19697,19
100,21372,28,19426,18
100,21523,28,19277,19
100,21547,29,19250,19
110,21437,28,19382,18
110,20860,28,19892,18
110,20533,29,20155,19
110,20394,28,20235,17
110,20310,28,20269,18
110,20522,28,20011,17
110,20900,29,19550,20
110,21275,28,19296,19
110,21325,28,19302,19
110,21528,30,19152,18
120,21361,29,19335,20
120,20703,29,19942,19
120,20416,26,20142,20
120,20177,28,20260,19
120,20177,29,20234,19
120,20449,29,19871,19
120,20760,31,19575,20
120,21161,29,19315,19
120,21316,30,19269,21
120,21402,30,19234,20
130,21224,31,19290,19
130,20700,31,19865,19
130,20370,30,20163,19
130,20209,29,20245,19
130,20158,30,20283,19
130,20406,29,20006,20
130,20781,31,19591,22
130,21139,31,19267,20
130,21150,31,19244,20
130,21310,30,19024,20
140,21173,31,19044,21
140,20527,32,19735,21
140,20333,30,20009,23
140,20156,32,20291,20
140,20163,31,20312,20
140,20460,30,20014,21
140,20826,31,19659,21
140,21083,31,19297,21
140,21153,31,19089,21
140,21209,32,18937,22
150,21190,31,19236,20
150,20623,31,19812,22
150,20323,32,20098,21
150,20173,30,20244,20
150,20158,32,20248,21
150,20381,31,20023,22
150,20793,32,19586,22
150,21159,32,19222,22
150,21167,32,19195,22
150,21346,33,19065,21
160,21096,31,19089,23
160,20487,33,19726,22
160,20293,32,19942,24
160,20107,31,20167,22
160,20144,32,20225,21
160,20470,32,19934,22
160,20847,32,19604,23
160,21124,32,19294,23
160,21233,32,19202,23
160,21298,34,19023,23
170,21126,33,19205,24
170,20565,32,19726,24
170,20314,33,20122,24
170,20309,34,20369,23
170,20253,33,20385,23
170,20472,33,20078,23
170,20742,34,19619,24
170,21114,33,19256,25
170,21140,34,19212,23
170,21237,35,19086,25
180,21188,35,19310,25
180,20642,35,19982,25
180,20465,34,20268,27
180,20281,34,20485,25
180,20227,33,20449,26
180,20415,34,20072,25
180,20727,35,19678,25
180,21026,34,19455,26
180,21217,33,19372,25
180,21359,35,19330,24
190,21164,35,19410,26
190,20632,35,19929,24
190,20272,36,20258,26
190,20177,34,20371,25
190,20155,35,20394,26
190,20404,35,20174,25
190,20734,35,19781,26
190,21093,36,19404,28
190,21124,35,19378,25
190,21269,36,19204,26
200,21126,35,19391,27
200,20471,35,19998,29
200,20252,36,20219,27
200,20094,35,20412,27
200,20110,36,20480,27
200,20435,35,20216,27
200,20816,36,19875,29
200,21113,35,19618,28
200,21228,36,19492,28
200,21266,36,19378,27
210,21075,36,19618,29
210,20549,37,20116,29
210,20238,37,20461,28
210,20071,36,20545,27
210,19975,37,20478,29
210,20194,35,20165,29
210,20454,37,19823,29
210,20864,37,19502,28
210,21015,36,19566,29
210,21152,38,19455,29
220,20960,39,19639,31
220,20241,36,20209,30
220,19916,36,20311,29
220,19747,36,20451,28
220,19802,38,20493,29
220,20120,38,20227,29
220,20532,39,19906,30
220,20834,40,19609,31
220,20919,38,19508,30
220,20962,39,19345,29
230,20909,39,19491,31
230,20336,41,20001,33
230,19966,40,20272,31
230,19845,38,20396,30
230,19827,41,20414,32
230,20110,40,20193,32
230,20467,42,19820,33
230,20764,41,19457,32
230,20811,41,19423,32
230,20950,41,19292,32
240,20883,43,19557,35
240,20225,43,20181,35
240,19998,44,20385,35
240,19846,40,20625,32
240,19831,42,20626,34
240,20095,42,20334,34
240,20446,45,19911,34
240,20739,44,19619,35
240,20865,45,19554,34
240,20954,44,19449,37
250,20749,46,19600,38
250,20271,47,20139,36
250,19910,45,20458,37
250,19771,44,20607,36
250,19811,46,20593,37
250,20082,46,20299,37
250,20464,49,19962,39
250,20838,47,19593,38
250,20873,47,19542,38
250,20941,49,19375,38
260,20821,50,19535,39
260,20234,52,20232,41
260,20027,48,20478,39
260,19847,48,20722,39
260,19885,49,20726,40
260,20148,49,20465,41
260,20539,52,20019,42
260,20780,52,19708,43
260,20886,52,19565,42
260,20962,53,19512,43
270,20776,55,19647,46
270,20275,53,20155,46
270,20010,52,20541,44
270,19968,52,20741,42
270,19994,55,20787,44
270,20155,54,20512,45
270,20522,57,19969,47
270,20796,57,19637,45
270,20879,57,19649,48
270,21026,57,19514,48
280,21094,63,19809,52
280,20421,61,20387,54
280,20158,60,20636,51
280,19977,57,20785,50
280,19999,60,20719,52
280,20190,60,20453,51
280,20634,64,20052,53
280,20925,64,19741,53
280,21012,65,19694,55
280,21076,66,19493,54
290,21000,72,19860,61
290,20520,71,20355,60
290,20217,66,20743,58
290,20050,63,20911,54
290,20050,67,20856,60
290,20305,67,20607,58
290,20722,73,20197,64
290,21036,75,19811,63
290,21036,74,19737,64
290,21208,76,19536,63
300,20993,81,19742,70
300,20372,83,20394,72
300,20148,76,20645,69
300,19932,74,20873,65
300,19961,78,20768,69
300,20266,78,20502,70
300,20631,88,20105,78
300,20948,88,19802,75
300,21017,89,19704,77
300,21073,90,19642,77
310,20892,99,19823,86
310,20289,101,20325,91
310,19951,89,20557,82
310,19743,86,20670,78
310,19761,92,20613,85
310,20017,94,20433,83
310,20411,107,20024,94
310,20829,106,19702,93
310,20838,110,19750,95
310,20987,109,19499,94
320,20609,120,19593,107
320,19854,123,20204,113
320,19817,108,20461,99
320,19654,103,20684,96
320,19760,115,20605,106
320,20060,117,20328,107
320,20331,137,19923,124
320,20709,131,19546,116
320,20582,142,19586,125
320,20678,133,19456,116
330,20231,154,19734,139
330,19781,161,20121,149
330,19566,136,20426,124
330,19378,136,20572,127
330,19534,146,20394,135
330,19787,155,20173,143
330,20090,179,19717,162
330,20544,171,19328,150
330,20335,187,19482,167
330,20441,166,19370,145
340,20103,205,19604,184
340,19519,209,20177,195
340,19355,174,20439,163
340,19240,176,20601,168
340,19484,188,20359,178
340,19669,208,20046,191
340,20010,240,19617,215
340,20406,239,19343,206
340,20279,254,19443,223
340,20385,220,19474,193
350,20004,272,19859,245
350,19508,278,20261,259
350,19350,225,20549,213
350,19159,229,20604,218
350,19287,249,20315,233
350,19480,277,19991,255
350,19766,325,19532,291
350,20148,309,19143,269
350,19992,334,19290,294
350,20151,293,19273,258
360,19746,371,19496,328
360,19099,373,20029,346
360,19070,307,20278,289
360,18823,308,20458,295
360,19071,336,20185,316
360,19277,371,19894,341
360,19611,438,19432,390
360,19916,426,19109,369
360,19805,460,19190,402
360,19934,403,19270,349
370,19558,513,19312,458
370,19121,525,19688,482
370,18996,424,20155,401
370,18936,432,20329,413
370,19136,479,20102,447
370,19296,528,19817,484
370,19531,625,19245,552
370,19937,595,18940,508
370,19605,643,19000,561
370,19791,562,19082,486
380,19500,713,19340,637
380,18895,721,19878,676
380,18812,590,20117,561
380,18551,593,20258,573
380,18716,637,19932,603
380,18994,705,19716,653
380,19356,839,19287,750
380,19669,815,19017,713
380,19508,876,18983,769
380,19620,763,19056,668
390,19180,957,19256,864
390,18714,968,19540,910
390,18614,780,20056,751
390,18487,793,20075,768
390,18630,865,19827,827
390,18722,951,19442,887
390,18916,1112,18841,1001
390,19368,1054,18587,916
390,19059,1142,18624,1012
390,19228,978,18794,863
400,18755,1261,18770,1152
400,18271,1250,19235,1197
400,18230,1041,19747,1013
400,18066,1091,19767,1077
400,18116,1151,19446,1116
400,18421,1329,18880,1234
400,18532,1457,18526,1328
400,18862,1463,18371,1299
400,18779,1502,18421,1352
400,18851,1299,18763,1182
410,18124,1670,18543,1574
410,17848,1594,18851,1544
410,17627,1378,19349,1373
410,17599,1438,19166,1429
410,17621,1577,18934,1550
410,17954,1790,18251,1681
410,18030,1946,17888,1792
410,18434,1919,17744,1716
410,18142,1946,17850,1781
410,18199,1707,18193,1577
420,17482,2146,17656,2022
420,17097,2061,18144,2041
420,17216,1808,18761,1822
420,17240,1900,18697,1912
420,17228,2058,18311,2044
420,17437,2325,17511,2196
420,17346,2514,17030,2335
420,17637,2468,16864,2230
420,17406,2484,17004,2292
420,17586,2193,17527,2050
430,16893,2673,17154,2588
430,16625,2594,17472,2598
430,16629,2264,18205,2343
430,16635,2393,17949,2450
430,16566,2598,17577,2633
430,16796,2921,16893,2815
430,16788,3144,16453,2965
430,17118,3100,16317,2835
430,16825,3150,16431,2952
430,17030,2772,16982,2638
440,16016,3384,16219,3304
440,15705,3239,16685,3314
440,15803,2890,17301,3028
440,15792,3008,17207,3145
440,15736,3245,16757,3329
440,15886,3642,16001,3543
440,15746,3923,15494,3743
440,16091,3898,15415,3612
440,15834,3910,15518,3710
440,16115,3478,16138,3353
450,15165,4164,15533,4138
450,14950,4037,15924,4170
450,15059,3555,16662,3796
450,14988,3715,16400,3931
450,14824,4004,15963,4181
450,14929,4465,15161,4409
450,14857,4793,14706,4618
450,15129,4741,14578,4439
450,14827,4769,14615,4575
450,15137,4268,15242,4171
460,14276,5129,14536,5091
460,14006,4921,14986,5131
460,14250,4417,15706,4738
460,14071,4570,15464,4890
460,13926,4838,14955,5066
460,13847,5395,14109,5359
460,13765,5756,13672,5581
460,14040,5774,13575,5445
460,13901,5764,13756,5566
460,14312,5233,14410,5130
470,13235,6044,13579,6047
470,12999,5893,13828,6118
470,13314,5257,14706,5655
470,13241,5504,14470,5865
470,13045,5864,14024,6148
470,12983,6460,13183,6400
470,12781,6833,12668,6615
470,13110,6817,12612,6388
470,12836,6825,12625,6543
470,13309,6239,13383,6103
480,12213,7208,12409,7155
480,12041,6895,12866,7200
480,12423,6307,13661,6766
480,12310,6482,13522,6952
480,12112,6847,13025,7193
480,11908,7511,12109,7464
480,11695,7909,11590,7675
480,11947,7929,11525,7487
480,11774,7912,11595,7636
480,12269,7285,12300,7148
490,11237,8210,11419,8210
490,11059,7973,11723,8320
490,11455,7268,12567,7832
490,11251,7528,12242,8048
490,10996,7946,11753,8363
490,10852,8663,10954,8615
490,10625,9144,10451,8879
490,10919,9161,10435,8627
490,10715,9164,10483,8843
490,11193,8471,11184,8327
500,10022,9422,10143,9448
500,9846,9072,10491,9585
500,10252,8371,11235,9065
500,10054,8528,11016,9238
500,9831,8946,10521,9492
500,9605,9716,9752,9798
500,9423,10266,9287,10085
500,9670,10326,9266,9843
500,9463,10338,9266,10079
500,9966,9669,9916,9545
510,8755,10505,8884,10714
510,8564,10271,9048,10911
510,9065,9443,9970,10385
510,8816,9687,9653,10631
510,8611,10120,9258,10930
510,8347,10845,8506,11135
510,8136,11372,8065,11393
510,8350,11448,8009,11076
510,8096,11439,7928,11296
510,8583,10704,8593,10753
520,7537,11679,7612,11981
520,7499,11252,7959,12128
520,7914,10606,8666,11716
520,7736,10730,8459,11873
520,7554,11129,8067,12063
520,7225,11918,7291,12261
520,6989,12349,6865,12414
520,7136,12439,6830,12160
520,7029,12330,6866,12307
520,7518,11709,7493,11866
530,6499,12577,6566,13085
530,6402,12272,6746,13294
530,6854,11497,7495,12823
530,6637,11752,7207,13065
530,6372,12144,6804,13306
530,6137,12937,6158,13394
530,5924,13361,5809,13548
530,6097,13477,5804,13239
530,5953,13411,5785,13470
530,6387,12809,6348,13094
540,5443,13647,5446,14219
540,5403,13192,5693,14449
540,5786,12494,6300,14057
540,5617,12671,6102,14238
540,5430,13071,5758,14402
540,5152,13900,5157,14530
