y-axis,value1,value2,value3,value4
0,20589,24,14148,19
0,20674,25,14142,18
0,20819,25,14071,16
0,20998,24,13992,16
0,21180,25,13860,17
0,21424,25,13752,16
0,21639,24,13641,16
0,21716,25,13514,16
0,21670,27,13418,16
0,21585,25,13462,16
10,22154,27,12719,19
10,20291,28,14495,20
10,20725,28,14036,20
10,19581,27,15214,19
10,19999,27,14888,23
10,20151,28,14668,21
10,21231,29,13762,21
10,21343,30,13661,22
10,21972,26,13060,21
10,20933,28,13834,21
20,21891,29,12897,24
20,19812,29,14697,25
20,19437,31,15127,23
20,18228,29,16296,22
20,18683,32,15856,24
20,18833,32,15724,26
20,20226,30,14311,23
20,21016,30,13660,25
20,21819,29,12849,24
20,21046,31,13432,25
30,22480,33,12284,27
30,20061,32,14460,27
30,19354,33,15090,27
30,19021,31,15474,25
30,18284,33,15885,27
30,18615,33,15558,25
30,20161,32,14023,26
30,20778,32,13603,28
30,21385,32,12954,27
30,21302,33,13065,27
40,21901,34,12486,28
40,19502,36,14697,27
40,19695,37,14804,25
40,18375,34,15931,28
40,18139,36,16244,27
40,18719,35,15544,27
40,20429,36,14117,27
40,20559,35,13829,26
40,22173,34,12538,27
40,21750,36,12807,27
50,21445,37,12871,23
50,19566,38,14583,24
50,19195,36,15065,24
50,18468,36,15760,26
50,18260,37,15870,24
50,19067,36,15101,25
50,20219,37,14157,23
50,20998,37,13423,23
50,22029,35,12449,22
50,21160,37,13031,22
60,21926,36,12503,22
60,20001,38,14331,23
60,19892,38,14350,21
60,18589,36,15451,22
60,18759,39,15455,21
60,19099,38,15196,21
60,20477,38,13823,20
60,20971,38,13403,20
60,22022,36,12506,21
60,21124,38,13109,21
70,22356,37,12089,21
70,20406,39,13935,20
70,19528,38,14652,20
70,18805,38,15409,20
70,18426,38,15493,18
70,18898,37,14956,19
70,20216,38,13798,20
70,20841,37,13054,19
70,21993,36,12417,21
70,21406,39,12682,19
80,22287,36,12176,20
80,19750,37,14472,19
80,19362,39,14573,19
80,18272,37,15579,20
80,18051,39,15808,21
80,18284,36,15368,20
80,20234,37,13916,21
80,20635,37,13464,19
80,22056,37,12516,19
80,21404,39,12942,22
90,21592,36,12623,21
90,19402,37,14542,21
90,18926,40,15229,23
90,18115,39,15797,21
90,17811,38,16382,23
90,18609,38,15347,21
90,19894,36,14049,22
90,20486,38,13314,21
90,21819,37,12487,22
90,21359,36,12586,23
100,21261,36,12997,24
100,19208,38,14769,25
100,18956,40,15128,25
100,17986,39,16083,24
100,17860,38,15974,25
100,18818,39,15434,26
100,19679,36,14423,25
100,20850,38,13272,27
100,21230,37,12899,24
100,21058,36,13102,27
110,20858,37,13612,29
110,18734,36,15500,30
110,18274,39,15850,29
110,17561,36,16525,28
110,17153,37,16656,30
110,18372,38,15750,30
110,19180,37,15048,30
110,20567,35,13421,31
110,20537,36,13561,29
110,21041,37,13446,31
120,20703,36,13824,31
120,18503,36,16034,33
120,18453,38,15922,33
120,17306,37,17197,31
120,17544,37,17060,33
120,18517,36,16020,33
120,19301,37,15059,33
120,20655,36,13706,34
120,20889,35,13423,33
120,20988,36,13584,33
130,20646,34,13952,36
130,18531,35,15962,34
130,18064,37,16476,36
130,17248,37,17184,36
130,17227,37,17470,35
130,18245,35,16109,36
130,19196,35,15529,36
130,20989,35,13826,36
130,20564,34,13898,34
130,21004,34,13587,37
140,20493,33,13864,35
140,18345,33,16052,36
140,18363,33,16140,36
140,17142,33,17551,35
140,17399,35,17387,34
140,18351,34,16210,34
140,19147,34,15202,35
140,20649,33,14000,35
140,20664,32,13673,37
140,20916,32,13664,36
150,20557,33,13973,35
150,18443,32,16058,35
150,17976,32,16313,35
150,17370,32,17233,35
150,17256,32,17229,34
150,18423,32,16152,35
150,18893,31,15330,34
150,20795,32,13871,36
150,20461,33,13902,36
150,20870,33,13785,35
160,20753,31,14012,35
160,18356,32,16190,33
160,18378,32,15951,33
160,17159,30,17267,33
160,17137,31,17116,32
160,18114,31,16065,33
160,19058,31,15244,33
160,20268,30,13942,35
160,20609,30,13872,35
160,20561,32,13792,34
170,20676,29,13784,33
170,18688,31,16034,32
170,18184,31,16203,33
170,17330,30,17077,34
170,17079,30,17153,30
170,18260,30,15932,34
170,18975,29,15493,34
170,20569,30,13752,33
170,20697,30,13864,33
170,20687,29,13733,34
180,20432,29,13984,34
180,18097,28,15971,33
180,17994,30,15996,31
180,17052,29,17426,32
180,17022,30,17447,32
180,17896,31,16224,34
180,18730,28,15419,33
180,20368,28,14360,35
180,20383,29,14088,34
180,20309,29,14050,35
190,20294,29,14132,34
190,18347,29,16335,34
190,17831,29,16631,33
190,17109,29,17549,33
190,16839,29,17486,32
190,18076,29,16422,33
190,18414,29,15671,34
190,20202,30,14027,34
190,20344,29,14275,33
190,20543,28,14009,35
200,20303,29,14206,36
200,18238,31,16566,37
200,18107,30,16564,35
200,16911,28,17572,35
200,16899,30,17671,37
200,17826,27,16482,36
200,18609,32,15721,37
200,19903,30,14312,36
200,20006,29,14276,35
200,20305,31,14209,37
210,19971,33,14498,39
210,17851,33,16443,41
210,17579,31,17077,41
210,16706,31,17640,38
210,16574,32,18034,41
210,17930,31,16924,39
210,18256,32,16311,41
210,20097,32,14619,40
210,19990,32,14727,40
210,20411,34,14471,41
220,20103,36,14973,44
220,17693,34,17147,43
220,17647,34,17125,43
220,16575,33,18374,43
220,16442,34,18116,45
220,17453,34,17024,43
220,18550,36,16313,45
220,19919,36,14844,45
220,19926,35,14541,43
220,20172,36,14703,45
230,19837,38,14983,48
230,17739,38,16976,49
230,17357,39,17288,49
230,16524,36,18019,47
230,16560,38,18277,50
230,17724,39,17001,48
230,18214,40,16252,51
230,19938,39,14701,49
230,19989,39,14807,48
230,20219,40,14653,50
240,19787,41,14853,50
240,17685,43,17378,53
240,17635,41,17200,53
240,16326,37,18257,52
240,16460,40,18129,53
240,17587,41,17329,53
240,18603,42,16396,54
240,19644,44,14949,51
240,19890,42,14809,51
240,20016,46,14902,52
250,19705,45,15058,54
250,17734,47,17090,57
250,17373,46,17345,56
250,16509,44,18231,55
250,16594,46,18255,57
250,17702,45,16977,55
250,18316,47,16293,54
250,20109,46,14844,54
250,19995,46,14922,55
250,20266,46,14717,54
260,19843,47,14816,56
260,17578,48,16970,57
260,17826,49,17083,57
260,16627,48,18537,58
260,16563,48,17986,57
260,17684,48,16965,58
260,18642,50,16282,60
260,19935,49,14842,58
260,20187,49,14843,58
260,20052,50,14669,57
270,20044,52,15028,59
270,17875,52,16984,58
270,17675,51,17315,59
270,16566,50,18141,58
270,16908,52,18173,58
270,17880,52,17028,60
270,18656,52,16395,58
270,20419,53,14756,57
270,19941,53,14695,57
