y-axis,value1,value2,value3,value4
0,21394,38,17064,17
0,21361,37,17081,15
0,21330,37,17023,15
0,21347,37,16997,16
0,21385,39,17001,17
0,21416,36,16957,15
0,21402,37,16855,16
0,21380,37,16788,15
0,21347,35,16762,15
0,21330,36,16778,15
10,22166,35,16304,15
10,21136,35,17264,15
10,21317,36,17071,15
10,20643,36,17708,16
10,20901,37,17409,15
10,20963,35,17325,15
10,21551,35,16796,15
10,21595,34,16697,15
10,21968,35,16426,15
10,21435,36,16829,14
20,22126,33,16137,16
20,21137,34,17077,16
20,20597,35,17695,16
20,20260,34,18097,15
20,20197,36,18022,19
20,20332,34,17937,17
20,20926,34,17254,17
20,21438,33,16749,17
20,21772,34,16463,16
20,21509,36,16608,18
30,21935,32,16228,18
30,20500,33,17592,18
30,20084,34,18094,18
30,19995,35,18243,15
30,19612,34,18610,15
30,19911,34,18298,19
30,20748,33,17432,17
30,21071,35,17040,18
30,21447,33,16704,19
30,21538,32,16593,18
40,21538,32,16664,19
40,20397,33,17791,18
40,20034,34,18152,18
40,19787,34,18431,18
40,19413,33,18798,18
40,19997,33,18170,19
40,20803,32,17368,18
40,21174,32,17014,17
40,21774,32,16376,18
40,21910,32,16308,18
50,21790,31,16590,19
50,20555,32,17701,16
50,20274,32,17938,17
50,19835,31,18289,18
50,19801,33,18403,17
50,20333,31,17860,18
50,20882,31,17251,16
50,21334,32,16855,18
50,21876,31,16244,18
50,21505,31,16583,17
60,21885,30,16593,17
60,20926,30,17450,16
60,20535,32,17809,17
60,20175,31,18253,18
60,20032,31,18380,17
60,20298,32,18094,16
60,20989,30,17304,16
60,21386,30,16939,16
60,21780,29,16485,17
60,21554,29,16696,17
70,22179,28,16232,16
70,20914,28,17344,15
70,20424,32,17819,16
70,20017,29,18149,17
70,19931,29,18248,16
70,20251,29,17910,15
70,20966,29,17230,17
70,21481,28,16768,15
70,21911,27,16389,17
70,21788,28,16474,16
80,22157,27,16320,18
80,20941,28,17517,19
80,20336,29,17962,16
80,20139,28,18289,17
80,19732,28,18561,18
80,20090,29,18168,18
80,20994,28,17364,18
80,21450,27,16909,19
80,21891,29,16466,18
80,21890,30,16397,19
90,21951,28,16238,19
90,20592,29,17450,22
90,20285,28,17688,18
90,19913,27,18148,19
90,19663,28,18331,19
90,20230,30,17784,19
90,20901,28,17125,21
90,21250,27,16753,21
90,21956,28,16224,20
90,21786,28,16334,21
100,21670,29,16590,22
100,20653,28,17436,21
100,20140,29,17937,23
100,19991,27,18223,21
100,19718,29,18337,22
100,20272,29,17801,22
100,20699,28,17333,23
100,21415,29,16473,22
100,21547,29,16535,23
100,21617,27,16277,23
110,21275,29,16685,25
110,20026,28,17793,24
110,19766,30,18068,24
110,19507,28,18432,21
110,19290,29,18533,23
110,19906,29,17887,24
110,20275,30,17437,25
110,21016,29,16816,24
110,21017,30,16697,25
110,21209,31,16632,24
120,21056,28,16927,23
120,20139,30,17844,23
120,19711,31,18353,24
120,19370,30,18674,24
120,19323,30,18768,24
120,19831,29,18179,24
