y-axis,value1,value2,value3,value4
0,21478,30,15311,14
0,21556,31,15359,15
0,21662,31,15296,15
0,21713,30,15166,16
0,21815,30,15096,14
0,21861,29,14997,15
0,21933,31,14901,16
0,22066,30,14830,13
0,22195,29,14820,16
0,22206,30,14865,15
10,22607,29,14064,17
10,20904,30,15632,16
10,21248,29,15258,16
10,20201,31,16298,17
10,20543,31,16039,19
10,20642,29,15952,16
10,21641,29,15131,19
10,21744,29,15041,19
10,22326,28,14453,19
10,21552,30,15148,18
20,22252,28,14384,20
20,20898,29,15692,20
20,20112,31,16455,19
20,19624,28,17087,20
20,19657,30,16973,20
20,19829,30,16723,19
20,20797,29,15751,21
20,21550,29,15092,20
20,22106,28,14590,20
20,21696,28,14789,20
30,22439,28,14044,21
30,20464,29,15970,21
30,20112,29,16459,20
30,19740,29,16826,19
30,19268,29,17243,21
30,19445,27,17034,20
30,20774,27,15743,20
30,21092,27,15374,21
30,21702,28,14744,21
30,21607,26,14776,21
40,22030,27,14490,19
40,20290,26,16059,19
40,20032,28,16337,20
40,19308,27,17017,21
40,18965,28,17443,20
40,19530,27,16835,19
40,20764,27,15629,20
40,21133,28,15406,21
40,22138,28,14292,21
40,22121,26,14381,19
50,22049,26,14815,18
50,20418,26,16306,17
50,20116,27,16441,16
50,19493,28,17145,17
50,19499,28,17109,18
50,20061,27,16599,16
50,21050,28,15698,16
50,21619,26,15156,15
50,22414,27,14343,17
50,21931,26,14928,18
60,22181,26,14520,14
60,20907,28,15891,16
60,20286,25,16354,17
60,19616,27,16949,17
60,19381,28,17053,16
60,19765,28,16668,16
60,20771,28,15680,16
60,21473,27,15249,18
60,22037,27,14675,16
60,21729,26,14939,14
70,22215,28,14160,17
70,20634,28,15809,16
70,20169,30,16494,16
70,19455,27,17021,15
70,19308,30,17141,16
70,19609,30,16726,16
70,20542,29,15585,17
70,21186,30,15066,17
70,22063,27,14566,18
70,21731,31,14764,17
80,22114,29,14217,19
80,20440,31,15914,20
80,19923,31,16412,18
80,19286,30,16955,18
80,18918,31,17338,18
80,19205,31,16918,19
80,20498,31,15726,19
80,21044,32,15266,20
80,21782,31,14492,18
80,21503,31,14536,20
90,21584,35,14471,22
90,19821,34,16062,21
90,19437,34,16421,22
90,18925,33,16999,21
90,18606,35,17190,22
90,19263,35,16673,22
90,20353,35,15522,23
90,20664,34,15061,24
90,21662,34,14272,22
90,21458,36,14564,24
100,21349,37,14733,25
100,19943,37,16046,26
100,19343,37,16516,25
100,18954,36,16989,24
100,18596,37,17062,25
100,19356,38,16542,25
100,20085,36,15918,25
100,21169,38,14949,26
100,21323,37,14723,27
100,21363,38,14683,26
110,21364,38,14832,26
110,19533,41,16572,27
110,19245,40,16682,26
110,18615,38,17272,26
110,18351,41,17407,26
110,19227,40,16624,26
110,19822,41,15936,26
110,20873,40,15061,27
110,21200,41,15027,29
110,21210,42,14975,28
120,20936,42,15248,28
120,19445,43,16766,27
120,19010,43,17137,26
120,18371,41,17738,27
120,18344,42,17935,25
120,19160,42,17098,26
120,19836,45,16471,27
120,21041,43,15311,27
120,21006,44,15253,26
120,21252,42,15074,26
130,21123,44,15313,26
130,19333,45,17055,25
130,19064,45,17455,26
130,18305,45,17935,26
130,18317,46,18167,25
130,19101,44,17326,26
130,19827,44,16599,24
130,21031,46,15550,24
130,21056,46,15569,24
130,21193,44,15282,26
140,20926,44,15458,24
140,19420,47,17162,25
140,18917,48,17527,24
140,18143,45,18118,24
140,18113,49,18273,25
140,19109,46,17384,24
140,19836,48,16801,23
140,21242,46,15617,24
140,21297,45,15564,24
140,21534,45,15219,24
150,21465,46,15240,23
150,19535,48,17127,23
150,19287,49,17380,23
150,18454,48,17987,21
150,18416,50,18113,23
150,19408,49,17130,23
150,20136,50,16481,23
150,21201,48,15341,22
150,21444,50,15283,21
150,21452,48,15205,23
160,21520,49,15411,22
160,19725,49,16903,23
160,19359,50,17188,24
160,18549,49,17870,24
160,18469,51,17972,22
160,19510,51,17265,24
160,20074,50,16500,24
160,21207,49,15331,23
160,21253,50,15183,23
160,21377,49,14991,23
170,21343,50,15182,24
170,19524,52,16956,25
170,19198,52,17156,25
170,18645,51,17986,24
170,18560,53,18048,26
170,19319,52,17051,24
170,20028,51,16445,26
170,21254,51,15352,26
170,21329,53,15332,26
170,21502,53,15218,25
180,21201,53,15404,28
180,19503,54,16802,29
180,19321,55,17325,29
180,18643,54,17957,26
180,18491,55,18164,29
180,19314,53,17168,29
180,19783,55,16543,28
180,20983,53,15316,29
180,21069,56,15389,29
180,21195,54,15042,28
190,21114,54,15302,33
190,19096,56,17038,33
190,19097,57,17426,33
190,18467,57,18194,31
190,18283,59,18282,31
190,19208,56,17448,34
190,19815,59,16774,34
190,20835,57,15730,34
190,20943,56,15475,33
190,20989,59,15431,36
200,20877,58,15425,37
200,19216,60,17017,37
200,19110,59,17341,36
200,18488,59,18023,35
200,18305,61,18154,35
200,19033,60,17207,36
200,19661,59,16568,36
200,20806,59,15628,37
200,20810,59,15419,37
200,21039,60,15423,39
210,20756,61,15646,40
210,19002,60,17654,40
210,18716,62,17820,39
210,18118,60,18501,39
210,17844,62,18672,40
210,18756,62,17721,40
210,19161,62,17129,42
210,20279,61,16051,40
210,20327,62,15850,40
210,20280,62,15825,41
220,20317,63,16233,44
220,18813,64,17934,43
220,18418,64,18085,43
220,17713,62,18762,42
220,17614,65,19002,42
220,18383,63,18051,42
220,18973,65,17432,43
220,20159,63,16294,43
220,20330,64,16295,44
220,20442,63,16159,45
230,20345,63,16237,43
230,18613,65,18176,45
230,18324,65,18369,45
230,17612,64,19028,46
230,17471,67,19152,45
230,18524,65,18327,45
230,19189,65,17723,45
230,20174,65,16434,45
230,20416,65,16435,45
230,20449,65,16274,44
240,20256,64,16509,46
240,18636,65,18053,45
240,18336,66,18491,46
240,17669,64,19219,46
240,17645,66,19346,46
240,18396,65,18465,45
240,19065,64,17707,44
240,20145,63,16476,45
240,20201,63,16446,46
240,20482,63,16337,46
250,20127,64,16626,46
250,18252,63,18313,45
250,18038,64,18692,45
250,17247,64,19360,44
250,17262,65,19472,46
250,18353,65,18679,47
250,18875,65,17919,46
250,20101,64,16832,45
250,19884,63,16681,45
250,20095,63,16579,44
260,19933,63,16904,45
260,18316,62,18397,45
260,17959,64,18749,44
260,17186,63,19436,45
260,17290,65,19426,45
260,17987,63,18468,45
260,18730,62,17791,44
260,19978,62,16508,46
260,20086,64,16703,46
260,20316,63,16257,45
270,20364,62,16453,46
270,18484,63,18127,45
270,18269,65,18475,46
270,17476,64,19189,46
270,17480,64,19098,45
270,18272,60,18149,45
270,19104,62,17491,46
270,20259,62,16420,46
270,20092,61,16293,45
270,20379,63,16115,44
280,20233,61,16490,46
280,18727,62,18031,45
280,18411,63,18393,46
280,17630,63,19141,44
280,17733,63,19172,46
280,18504,63,18355,48
280,19191,63,17531,47
280,20343,62,16210,46
280,20337,62,16372,46
280,20625,65,15990,46
290,20419,64,16252,47
290,18489,62,17749,47
290,18435,64,18190,47
290,17664,65,18931,47
290,17695,64,18707,48
290,18620,64,17963,47
290,19425,65,17296,47
290,20576,63,16143,47
290,20591,66,16308,47
290,20645,64,15881,47
300,20370,65,16376,47
300,18690,66,17783,50
300,18446,66,18245,47
300,17641,64,18846,49
300,17741,66,18888,48
300,18554,65,18092,49
300,19139,66,17265,48
300,20422,66,16128,48
300,20395,66,16379,49
300,20838,65,15982,50
310,20517,66,15967,50
310,18839,68,17718,52
310,18593,67,17769,51
310,17790,66,18650,50
310,17876,68,18499,52
310,18797,66,17731,50
310,19462,69,17099,52
310,20578,65,15870,50
310,20578,68,15953,51
310,20691,67,15638,51
320,20618,68,15785,53
320,18883,68,17217,53
320,18667,67,17568,51
320,17842,66,18256,53
320,17772,69,18138,53
320,18671,67,17571,52
320,19258,69,16899,54
320,20574,66,15645,53
320,20499,68,15862,55
320,20829,69,15417,53
330,20471,68,15780,57
330,18563,68,17364,56
330,18390,68,17432,54
330,17600,68,18367,54
330,17660,69,18298,56
330,18369,68,17424,54
330,19103,69,16898,56
330,20321,67,15767,56
330,20215,69,15869,55
330,20349,69,15551,56
340,19753,69,16023,58
340,18147,70,17575,59
340,17837,69,17814,56
340,17208,69,18731,58
340,17070,70,18637,59
340,18001,70,17934,59
340,18622,72,17345,60
340,19864,71,16135,58
340,19564,70,16123,58
340,20039,69,15786,58
350,19545,73,16196,61
350,17847,72,17898,62
350,17682,71,18115,61
350,16885,72,19066,60
350,17039,72,18898,62
350,17808,71,18096,62
350,18441,74,17377,62
350,19447,71,16142,60
350,19501,72,16227,62
350,19658,73,15976,60
360,19362,73,16553,63
360,17669,73,17837,64
360,17456,72,18301,63
360,16702,72,19047,63
360,16908,72,18941,64
360,17566,72,18413,64
360,18341,74,17578,65
360,19409,73,16327,62
360,19346,74,16486,65
360,19709,75,16131,65
370,19198,75,16795,65
370,17430,75,18315,66
370,17348,76,18612,67
370,16433,72,19251,65
370,16585,73,19053,65
370,17383,74,18460,66
370,18119,76,17770,66
370,19318,76,16731,67
370,19213,76,16955,68
370,19549,77,16612,67
380,19047,76,17011,68
380,17778,78,18553,70
380,17433,76,18815,68
380,16487,73,19448,67
380,16758,77,19344,68
380,17460,75,18662,69
380,18213,78,17834,68
380,19381,79,16733,70
380,19207,80,16871,69
380,19406,78,16322,69
390,19386,81,16953,72
390,17577,81,18624,73
390,17368,79,18795,70
390,16709,79,19818,70
390,16793,80,19405,70
390,17424,79,18752,71
390,18374,83,17901,74
390,19248,82,16770,71
390,19258,83,16873,74
390,19561,84,16770,74
400,19212,84,17101,75
400,17792,87,18613,77
400,17456,81,18920,74
400,16553,82,19625,72
400,16836,82,19522,73
