y-axis,value1,value2,value3,value4
230,19025,56,19519,37
230,18772,55,19729,37
230,18410,54,20049,35
230,18332,56,20163,36
230,18884,54,19485,36
230,19296,57,19083,36
230,20044,59,18461,37
230,20114,57,18375,37
230,20221,58,18234,36
240,20078,59,18727,38
240,19111,59,19692,37
240,18701,60,19993,37
240,18367,57,20411,36
240,18339,58,20473,36
240,18926,60,19869,36
240,19349,60,19443,37
240,20226,60,18519,36
240,20107,59,18604,38
240,20287,60,18313,38
250,20254,62,18441,38
250,19106,63,19667,37
250,18826,61,19902,38
250,18482,61,20420,37
250,18481,61,20436,38
250,19106,62,19819,37
250,19577,63,19303,38
250,20316,64,18605,39
250,20437,64,18482,36
250,20621,64,18335,38
260,20398,66,18485,39
260,19469,66,19386,40
260,19038,66,19718,38
260,18568,62,20188,38
260,18614,66,20188,38
260,19134,66,19729,38
260,19571,66,19177,39
260,20455,66,18274,39
260,20383,67,18394,38
260,20642,65,18134,38
270,20589,69,18469,39
270,19433,70,19616,40
270,19226,69,19896,41
270,18743,66,20380,39
270,18745,69,20263,40
270,19278,68,19662,39
270,19845,71,19117,41
270,20511,71,18421,39
270,20549,70,18333,41
270,20763,71,18106,40
280,20640,72,18457,41
280,19727,74,19468,42
280,19377,72,19804,42
280,19036,71,20292,40
280,19053,74,20212,41
280,19523,72,19653,41
280,20057,76,19166,43
280,20835,74,18252,42
280,20756,74,18412,42
280,21014,74,18144,41
290,21050,76,18146,43
290,19795,77,19321,44
290,19671,77,19462,44
290,19139,74,20007,43
290,19271,77,19955,45
290,19842,75,19268,43
290,20207,76,18615,45
290,20869,76,17944,45
290,20981,77,17949,45
290,21016,79,17793,45
300,20572,78,18057,46
300,19706,79,19086,45
300,19410,77,19453,45
300,18989,77,20006,43
300,18942,78,19874,46
300,19255,77,19236,45
300,19729,80,18779,47
300,20696,80,18059,46
300,20571,80,18294,45
300,20691,80,18009,45
310,20487,80,18106,48
310,19261,80,19274,49
310,19102,79,19522,48
310,18684,78,19963,47
310,18712,81,19886,48
310,19225,82,19314,48
310,19776,83,18807,48
310,20429,83,18181,50
310,20402,83,18126,48
310,20594,83,17985,49
320,20366,84,18424,52
320,19282,86,19271,52
320,19073,85,19611,51
320,18537,84,20000,51
320,18610,85,19952,52
320,19056,84,19534,53
320,19458,86,18881,53
320,20258,83,18079,52
320,20213,86,18195,53
320,20361,86,17886,53
330,20243,90,18249,56
330,19022,89,19439,56
330,18887,87,19645,55
330,18479,86,20117,55
330,18504,86,19993,55
