y-axis,value1,value2,value3,value4
0,21543,28,13151,15
0,21602,29,13157,14
0,21594,30,13169,15
0,21554,29,13158,15
0,21578,29,13116,16
0,21598,27,13090,13
0,21526,28,13130,15
0,21444,28,13224,15
0,21347,28,13315,15
0,21207,27,13385,15
10,22188,30,12589,17
10,20606,31,14116,15
10,21115,30,13676,17
10,20054,30,14553,15
10,20569,31,14028,16
10,20854,31,13847,18
10,21756,31,13078,18
10,21799,31,12884,17
10,22274,31,12527,16
10,21400,32,13391,16
20,23079,32,11728,20
20,20493,32,14046,21
20,20446,35,14085,18
20,18988,33,15485,17
20,19565,33,15001,21
20,19696,34,14879,21
20,21345,34,13355,23
20,21745,34,12910,21
20,22680,33,11934,20
20,21600,35,12845,22
30,22918,35,12046,25
30,20022,36,14343,24
30,19169,36,15109,24
30,18660,35,15586,21
30,18137,36,16071,24
30,18613,36,15642,24
30,20272,38,14175,24
30,21015,35,13338,24
30,22188,35,12578,24
30,22099,36,12561,26
40,22243,34,12266,26
40,19481,35,14826,28
40,19801,38,14605,27
40,18381,37,15795,26
40,18402,36,15950,28
40,18925,35,15360,27
40,21021,37,13479,27
40,21264,36,13451,28
40,22998,36,11953,26
40,22357,37,12297,28
50,22237,35,12239,29
50,20359,34,13863,27
50,19729,37,14324,29
50,19022,35,15062,26
50,18711,36,15376,27
50,19559,34,14765,29
50,20650,36,13841,27
50,21133,34,13058,27
50,22411,35,12052,28
50,21663,34,12481,27
60,22601,32,11960,27
60,19992,34,14160,28
60,20067,36,13972,27
60,18541,34,15310,29
60,18743,34,15081,25
60,18729,34,14878,26
60,20433,32,13319,25
60,20521,34,13289,27
60,22039,32,12162,28
60,20804,33,13043,27
70,21943,32,12309,26
70,19655,32,14088,26
70,18786,33,14833,26
70,18311,32,15470,26
70,17947,33,15679,24
70,18388,30,15117,23
70,19615,30,13927,25
70,20391,31,13340,24
70,21523,31,12575,27
70,21221,32,12810,24
80,21702,29,12122,25
80,18856,27,14719,24
80,19039,30,14669,22
80,17897,30,15800,23
80,17864,29,15827,23
80,18145,28,15649,24
80,20198,27,13871,25
80,20187,27,13579,24
80,21725,28,12245,24
80,20826,28,12848,24
90,21254,27,12783,24
90,19000,26,14869,24
90,18259,28,15206,23
90,17882,28,15910,24
90,17283,28,16287,22
90,18097,27,15562,23
90,19578,27,14358,22
90,20054,27,13833,24
90,21347,26,12631,23
90,20926,28,13003,23
100,21040,25,13048,24
100,18663,24,15299,25
100,18383,26,15204,22
100,17368,25,16181,23
100,17404,25,16105,25
100,18090,26,15708,25
