y-axis,value1,value2,value3,value4
0,20924,37,16875,15
0,21016,37,16865,14
0,21115,35,16827,14
0,21226,36,16769,14
0,21276,35,16665,16
0,21347,38,16580,16
0,21377,35,16515,15
0,21424,37,16552,16
0,21397,38,16659,14
0,21292,37,16824,16
10,21949,34,15932,15
10,20409,35,17383,15
10,21102,36,16753,16
10,19992,35,17720,15
10,20570,36,17164,15
10,20577,35,17275,16
10,21528,34,16483,16
10,21420,33,16570,17
10,21768,33,16096,18
10,20915,36,16668,16
20,21497,32,15891,17
20,20463,31,17021,17
20,19747,35,17775,17
20,19524,34,18136,16
20,19418,34,18097,16
20,19680,33,17947,16
20,20476,32,17122,17
20,20985,32,16505,17
20,21405,32,16100,17
20,21184,31,16366,18
30,21692,30,15778,18
30,19745,33,17479,19
30,19573,33,17720,18
30,19262,34,18210,17
30,18961,33,18564,18
30,18998,32,18483,18
30,20381,32,17117,17
30,20507,31,17018,18
30,21183,32,16360,18
30,21090,30,16357,19
40,21140,30,16396,19
40,19835,31,17642,17
40,19422,32,18058,18
40,19165,32,18402,18
40,18699,32,18897,18
40,19405,31,18149,18
40,20236,30,17321,19
40,20674,31,16959,19
40,21473,30,16164,19
40,21552,30,16059,18
50,21481,28,16193,16
50,20107,29,17551,17
50,20039,30,17620,19
50,19347,30,18266,18
50,19458,31,18233,18
50,19740,30,17999,18
50,20727,28,17034,19
50,20913,29,16835,19
50,21703,30,15984,17
50,21223,28,16466,17
60,21527,26,16176,17
60,20470,27,17190,16
60,19922,29,17723,16
60,19506,28,18005,16
60,19311,30,18122,16
60,19750,28,17786,17
60,20481,28,17095,16
60,21013,27,16518,17
60,21419,27,16205,17
60,21295,27,16300,17
70,22038,26,15854,16
70,20470,28,17333,17
70,20198,28,17560,16
70,19518,28,18256,17
70,19613,27,18273,17
70,19805,28,18117,17
70,20879,29,17086,17
70,21040,28,16828,17
70,21783,27,16215,16
70,21431,27,16445,17
80,21785,26,16045,18
80,20291,28,17278,18
80,19683,28,17987,19
80,19553,27,18226,18
80,19100,27,18544,19
80,19506,28,18079,19
80,20437,27,17230,19
80,20899,28,16586,19
80,21479,28,16157,19
80,21523,28,16093,21
90,21687,29,16172,22
90,20087,28,17646,21
90,20173,30,17708,21
90,19493,27,18463,19
90,19310,28,18487,21
90,19640,28,18050,21
90,20746,28,16925,23
90,20845,29,16794,24
90,21872,29,15991,22
90,21437,29,16205,22
100,21177,30,16399,23
100,20007,31,17325,25
100,19494,30,17981,23
100,19291,30,18042,24
100,18963,31,18331,22
100,19627,30,17705,24
100,20093,30,17320,24
100,21000,31,16427,24
100,21078,32,16310,24
100,21168,31,16216,24
110,21246,32,16299,24
110,19687,31,17856,24
110,19802,31,17805,23
110,19140,30,18445,23
110,19064,33,18578,24
110,19558,31,18048,25
110,20285,33,17211,24
110,20818,32,16752,25
110,21016,32,16561,25
110,20963,33,16496,24
120,20768,34,16784,25
120,19608,34,17887,24
120,19084,33,18392,25
120,18810,32,18653,24
120,18567,35,18919,24
120,19228,32,18021,23
120,19643,34,17687,24
120,20584,34,16759,25
120,20611,34,16670,23
120,20831,35,16455,26
130,21026,36,16696,23
130,19480,36,18314,23
130,19330,37,18313,23
130,18601,34,19049,23
130,18674,34,19038,22
130,19222,35,18559,25
130,20094,37,17709,22
130,20878,37,17102,22
130,20963,37,16964,23
130,21087,36,16863,22
140,20750,39,17082,21
140,19577,37,18322,22
140,19063,38,18838,21
140,18602,36,19099,21
140,18564,38,19341,22
140,19358,37,18552,21
140,19786,40,18087,23
140,20742,38,17052,22
140,20875,38,17010,21
140,21050,39,16609,22
150,21075,40,16916,22
150,19350,41,18486,22
150,19351,39,18563,21
150,18619,39,19319,21
150,18716,41,19154,21
150,19337,39,18694,22
150,20195,41,17798,21
150,20950,41,17131,23
150,21038,41,16968,21
150,21165,41,16973,21
160,21241,44,17225,21
160,19927,43,18347,22
160,19476,42,18769,22
160,19086,41,19247,22
160,18895,43,19362,22
160,19758,43,18564,22
160,20159,45,18175,22
160,21124,45,17098,23
160,21185,43,17086,23
160,21509,44,16882,21
170,21255,47,16826,24
170,19699,48,18463,25
170,19654,46,18500,22
170,18905,45,19172,22
170,18938,48,19121,25
170,19488,46,18650,22
170,20254,46,17745,25
170,21040,47,17169,25
170,21120,45,16951,25
170,21171,47,16952,27
180,20787,49,17116,28
180,19809,50,18410,28
180,19366,49,18906,27
180,19032,48,19241,26
180,18734,49,19370,26
180,19506,49,18531,25
180,19867,51,18112,28
180,20826,50,17096,28
180,20741,48,16993,29
180,21144,51,16815,29
190,20861,52,17132,32
190,19177,54,18702,31
190,19035,54,18694,31
190,18433,50,19415,29
190,18410,54,19404,31
190,18961,51,18784,29
190,19837,54,18097,33
190,20499,55,17460,32
190,20682,54,17246,32
190,20450,55,17073,31
200,20203,56,17277,34
200,19014,56,18426,35
200,18713,57,18861,34
200,18567,55,19224,31
200,18160,57,19400,33
200,19044,56,18608,36
200,19322,58,18277,34
200,20285,58,17388,36
200,20278,57,17319,35
200,20512,58,17015,36
210,20364,58,17296,38
210,18819,61,18883,37
210,18698,58,18897,36
210,18089,57,19589,36
210,18032,60,19537,36
210,18567,59,18987,35
210,19236,61,18278,37
210,20017,61,17597,37
210,20120,60,17446,38
210,20133,60,17424,37
220,20032,61,17452,40
220,18751,63,18558,39
220,18403,62,19033,39
220,18077,60,19248,39
220,17879,62,19519,38
220,18689,61,18738,38
220,19031,63,18427,40
220,19889,62,17312,38
220,20002,62,17376,38
220,20228,61,17055,38
230,20266,63,17426,41
230,18717,64,19045,41
230,18652,64,19114,41
230,18060,62,19800,38
230,18012,65,19727,40
230,18592,65,19140,40
230,19283,67,18372,42
230,20027,64,17644,40
230,20173,65,17452,39
230,20255,65,17430,41
240,20186,64,17339,41
240,19146,67,18653,40
240,18712,67,19057,41
240,18338,64,19318,40
240,18208,67,19574,39
240,18936,66,18687,38
240,19307,65,18197,41
240,20305,65,17206,41
240,20404,65,17278,41
240,20604,67,16959,39
250,20545,68,17432,41
250,19035,69,18979,40
250,18979,68,19090,40
250,18213,66,19827,40
250,18318,69,19722,41
250,18881,68,19120,41
250,19806,70,18281,40
250,20391,69,17581,40
250,20642,68,17344,40
250,20544,68,17314,40
260,20495,69,17463,40
260,19307,70,18690,41
260,18766,70,19125,39
260,18344,69,19472,40
260,18361,71,19582,40
260,19140,70,18867,41
260,19535,72,18238,40
260,20588,71,17361,42
260,20509,69,17245,40
260,20789,70,17052,41
270,20801,72,17452,42
270,19287,74,18892,41
270,19202,75,19102,41
270,18553,72,19809,42
270,18619,73,19586,42
270,19191,73,19145,42
270,20145,73,18082,43
270,20732,73,17479,41
270,21014,75,17350,42
270,21084,76,17275,42
280,20941,73,17149,44
280,19713,77,18390,43
280,19227,75,18822,43
280,18833,74,19279,42
280,18813,75,19105,43
280,19455,74,18443,44
280,19989,76,17884,44
280,21054,74,16976,44
280,20928,75,16991,42
280,21226,76,16727,43
290,20993,75,17113,45
290,19222,76,18608,45
290,19372,77,18744,45
290,18558,75,19580,45
290,18744,78,19321,45
290,19248,78,18797,44
290,20002,79,17937,45
290,20741,78,17436,46
290,20876,77,17156,46
290,20887,78,17193,45
300,20605,79,17424,47
300,19409,82,18702,49
300,18967,80,19047,47
300,18549,79,19680,45
300,18574,80,19530,49
300,19152,79,18886,47
300,19567,80,18243,49
300,20459,79,17257,48
300,20503,79,17270,47
300,20730,79,17016,47
310,20667,79,17062,49
310,19046,82,18708,50
310,19011,81,18604,49
310,18404,80,19528,48
310,18409,82,19213,51
310,19072,81,18790,49
310,19704,82,17913,51
310,20455,81,17293,51
310,20517,82,17209,50
310,20514,82,17146,52
320,20270,82,17443,53
320,19127,84,18694,55
320,18767,84,19210,54
320,18334,83,19519,53
320,18217,83,19538,54
320,18986,83,19026,53
320,19351,85,18443,56
320,20243,83,17469,54
320,20275,84,17607,55
320,20606,83,17243,55
330,20081,84,17632,56
330,18422,86,19033,57
330,18493,85,19213,56
330,17668,85,19890,55
330,17875,87,19895,56
330,18237,84,19397,56
330,19183,86,18553,57
330,19883,85,17845,57
330,19863,85,17775,57
330,20115,85,17621,58
340,19575,86,17978,60
340,18394,87,19107,60
340,18026,86,19553,58
340,17508,85,19913,57
340,17523,85,19877,58
340,18156,85,19162,58
340,18715,87,18663,61
340,19716,85,17828,60
340,19683,85,17920,60
340,20018,86,17489,60
350,19577,86,17654,60
350,17962,88,19370,63
350,18023,86,19274,60
350,17237,86,20087,59
350,17372,85,19804,62
350,17734,85,19338,62
350,18536,85,18481,62
350,19144,85,17815,61
350,19279,86,17759,61
350,19445,85,17655,62
360,19119,85,17989,63
360,17950,86,19154,64
360,17647,86,19543,63
360,17232,85,20042,63
360,17246,86,20037,63
360,18010,86,19307,63
360,18463,86,18837,64
360,19416,87,17931,63
360,19414,86,17977,64
360,19708,86,17588,64
370,19402,86,17926,65
370,17948,87,19477,67
370,17826,85,19416,65
370,17121,85,20157,65
370,17401,88,20012,67
370,17756,84,19667,65
370,18599,89,18688,68
370,19163,85,17939,67
370,19229,86,17906,66
370,19482,86,17770,66
380,18968,87,18281,69
380,17995,88,19443,71
380,17536,88,19814,69
380,17185,85,20329,68
380,17200,86,20254,68
380,17868,85,19619,68
380,18453,89,19012,73
380,19174,87,17998,69
380,19289,89,18076,71
380,19660,90,17799,70
390,19296,89,18092,71
390,17780,89,19498,74
390,17782,88,19583,70
390,17043,86,20368,70
390,17297,89,20140,72
390,17667,89,19778,72
390,18495,93,18821,74
390,19195,91,18208,75
390,19263,94,18167,75
390,19311,92,18029,76
400,19086,96,18497,81
400,17861,96,19519,83
400,17425,93,19886,77
400,17131,91,20496,76
400,17035,93,20342,79
400,17791,93,19811,79
400,18367,102,19166,86
400,19259,101,18289,84
400,19086,102,18382,88
400,19575,102,17969,84
410,19438,110,18229,92
410,17959,117,19739,103
410,17821,102,19696,87
410,17064,101,20483,85
410,17426,107,20088,92
410,17971,108,19571,94
410,18716,131,18782,112
410,19731,121,17801,102
410,19146,133,18089,115
410,19571,119,17694,102
420,19017,152,18088,134
420,18021,167,19220,152
420,17563,125,19609,109
420,17255,129,20097,115
420,17498,137,19646,123
420,18150,154,18997,138
420,18734,199,18270,181
420,19782,187,17460,163
420,19401,218,17772,192
420,19673,168,17557,145
430,19146,258,17815,231
430,17591,276,19191,268
430,17841,183,19349,171
430,17014,191,20076,185
430,17728,223,19345,211
430,17964,273,18743,262
430,18746,370,17880,344
430,19707,337,16992,296
430,19106,393,17392,359
430,19354,296,17371,267
440,18688,495,17896,468
440,17596,510,18750,515
440,17381,330,19549,329
440,17015,348,19735,359
440,17483,406,19291,414
440,17893,512,18443,510
440,18163,702,17415,673
440,19166,660,16744,594
440,18600,748,16970,696
440,19010,555,17076,506
450,17882,894,16984,856
450,16482,929,18170,1000
450,16948,583,18689,608
450,16230,640,19475,711
450,16716,763,18372,809
450,16855,966,17770,1003
450,17201,1274,16564,1241
450,18315,1218,15930,1097
450,17439,1378,16146,1304
450,18082,1016,16435,946
460,16387,1614,16323,1641
460,15654,1557,17037,1701
460,15802,1059,18508,1207
460,15538,1223,18305,1410
460,15671,1377,17798,1547
460,16015,1821,16111,1871
460,15964,2159,15470,2152
460,16756,2203,14993,2048
460,16362,2173,15200,2089
460,16793,1702,16132,1678
470,15128,2684,15211,2754
470,14293,2444,16126,2768
470,14830,1791,17390,2079
470,14462,2031,17135,2388
470,14414,2402,16230,2712
470,14453,3138,14569,3233
470,14481,3543,13922,3502
470,15207,3491,13525,3218
470,14622,3485,14001,3419
470,15310,2818,14766,2786
480,13300,4100,13663,4261
480,12842,3798,14268,4244
480,13308,2960,15712,3484
480,12975,3324,15219,3893
480,12795,3764,14323,4259
480,13115,4672,12822,4681
480,12575,5266,11958,5160
480,13264,5261,11730,4826
480,12840,5165,11991,4998
480,13496,4269,13145,4296
490,11349,5959,11395,6185
490,10676,5541,12159,6469
490,11565,4395,13799,5321
490,10956,4830,13073,5881
490,10622,5503,12165,6452
490,10399,6723,10594,7056
490,10135,7414,9835,7440
490,10742,7440,9657,6913
490,10210,7319,9873,7293
490,11253,6266,10990,6297
500,9042,8043,9284,8550
500,8739,7615,9767,8785
500,9544,6312,11393,7728
500,9089,6594,10971,8186
500,8880,7357,10083,8609
500,8574,8525,8783,9045
500,7884,9609,7682,9734
500,8519,9823,7526,9036
500,7973,9782,7488,9580
500,8968,8680,8589,8657
510,7095,10212,6955,10464
510,6348,9642,7258,11531
