y-axis,value1,value2,value3,value4
0,21190,26,18811,16
0,21217,26,18761,16
0,21255,26,18717,14
0,21258,26,18661,15
0,21265,26,18650,15
0,21242,26,18659,16
0,21157,26,18689,15
0,21038,26,18732,16
0,20959,27,18764,15
0,20935,26,18770,15
10,21288,26,18451,15
10,20785,27,18959,14
10,20987,26,18776,15
10,20684,27,19091,13
10,20894,28,18859,16
10,20927,28,18832,16
10,21304,27,18427,16
10,21258,28,18461,15
10,21439,27,18377,15
10,21072,28,18728,15
20,21633,29,18278,17
20,20806,27,19038,16
20,20374,29,19498,14
20,20228,28,19649,14
20,20315,28,19587,16
20,20420,29,19436,14
20,20870,28,18894,16
20,21173,28,18601,15
20,21358,28,18453,16
20,21142,28,18617,16
30,21613,30,18198,17
30,20634,29,19124,17
30,20156,28,19634,16
30,20131,28,19645,15
30,19850,28,19835,16
30,20031,29,19700,16
30,20864,28,18889,16
30,21147,29,18616,16
30,21408,28,18299,17
30,21523,30,18203,17
40,21582,30,18329,16
40,20622,30,19280,17
40,20402,29,19509,17
40,20117,29,19674,16
40,19850,30,19880,16
40,20280,28,19450,17
40,20926,30,18773,17
40,21065,31,18596,17
40,21571,31,18101,16
40,21554,29,18062,16
50,21425,30,18316,16
50,20732,30,18960,16
50,20428,30,19259,18
50,20182,30,19490,17
50,20100,29,19598,15
50,20330,31,19434,17
50,20815,29,18926,15
50,21034,29,18715,16
50,21494,30,18275,14
50,21393,29,18460,16
60,21535,31,18202,17
60,20752,31,18905,16
60,20490,30,19204,18
60,20237,30,19461,17
60,20140,30,19596,16
60,20298,31,19414,18
60,20742,30,18946,18
60,21000,31,18678,17
60,21268,31,18433,16
60,21144,32,18521,16
70,21508,30,18241,18
70,20868,31,18913,17
70,20395,30,19467,17
70,20340,30,19652,18
70,20181,30,19798,17
70,20351,32,19621,17
70,20894,32,19098,17
70,21149,31,18751,17
70,21332,31,18451,18
70,21370,31,18349,18
80,21558,31,18234,17
80,20592,31,19157,17
80,20274,31,19544,18
80,20155,31,19641,18
80,19985,31,19908,18
80,20232,32,19617,17
80,20794,30,19021,17
80,21046,32,18741,18
80,21324,32,18400,18
80,21349,32,18370,17
90,21264,31,18471,17
90,20596,31,19207,17
90,20329,33,19505,18
90,20174,33,19735,18
90,20021,31,19927,18
90,20339,32,19619,18
90,20913,33,19042,18
90,21104,31,18826,18
90,21487,31,18432,18
90,21491,31,18413,16
100,21337,30,18444,18
100,20556,31,19182,18
100,20191,32,19488,18
100,20105,33,19643,18
100,19959,32,19751,18
100,20367,33,19430,18
100,20704,33,19080,18
100,21118,32,18662,17
100,21290,32,18555,18
100,21312,33,18519,17
110,21149,32,18663,18
110,20412,31,19381,18
110,20024,31,19656,18
110,19826,31,19814,18
110,19759,32,19889,18
110,20052,32,19524,18
110,20487,32,19168,19
110,20953,31,18692,19
110,20989,31,18702,17
110,21179,31,18530,19
120,21114,31,18683,19
120,20227,31,19579,20
120,20013,32,19749,19
120,19735,30,19992,17
120,19660,32,19994,20
120,20078,30,19551,19
120,20438,32,19210,21
120,20852,31,18711,20
120,20958,31,18587,19
120,21009,31,18504,19
130,21015,32,18643,21
130,20268,31,19372,23
130,19918,32,19652,21
130,19735,33,19934,20
130,19746,31,19993,21
130,20122,30,19657,21
130,20570,32,19190,22
130,21137,32,18688,22
130,21153,31,18625,21
130,21335,32,18450,23
140,21218,33,18593,23
140,20320,32,19433,23
140,20088,32,19642,22
140,19787,33,19921,21
140,19820,31,19980,22
140,20237,32,19529,22
140,20670,32,19131,23
140,21158,32,18682,22
140,21240,32,18613,22
140,21317,31,18440,23
150,21082,32,18592,23
150,20307,33,19312,21
150,20008,32,19662,24
150,19802,33,19937,23
150,19773,31,19923,23
150,20167,32,19588,22
150,20596,33,19153,22
150,21162,32,18695,24
150,21181,31,18690,23
150,21388,33,18496,22
160,21298,32,18659,20
160,20414,32,19550,23
160,20259,33,19762,23
160,19912,33,20032,22
160,19882,32,20054,24
160,20292,33,19619,22
160,20745,31,19241,23
160,21164,32,18794,23
160,21275,32,18689,22
160,21360,32,18584,22
170,21244,32,18764,24
170,20439,32,19464,24
170,20134,32,19797,24
170,19882,31,20022,22
170,19860,33,19995,23
170,20183,31,19606,22
170,20563,31,19168,24
170,21051,32,18632,23
170,21078,31,18559,23
170,21240,32,18459,23
180,21151,32,18613,25
180,20271,33,19413,24
180,20068,32,19641,24
180,19875,33,19944,23
180,19856,32,20033,23
180,20322,33,19620,25
180,20670,34,19281,23
180,21150,34,18818,24
180,21174,33,18780,25
180,21209,31,18652,24
190,20895,33,18795,25
190,20192,33,19497,25
190,19872,34,19861,25
190,19699,33,20022,24
190,19609,35,20050,25
190,20010,34,19666,25
190,20364,33,19251,26
190,20883,34,18728,26
190,20927,33,18739,26
190,21088,35,18562,26
200,20956,36,18734,27
200,20036,35,19596,27
200,19859,33,19761,27
200,19633,34,19966,25
200,19503,35,20061,27
200,19949,35,19699,27
200,20279,35,19313,26
200,20671,36,18909,27
200,20762,35,18806,28
200,20856,36,18723,28
210,20792,36,18915,29
210,20064,38,19638,28
210,19806,36,19973,28
210,19614,36,20220,27
210,19532,38,20300,28
210,19928,37,19938,29
210,20253,38,19587,30
210,20765,38,19078,30
210,20793,38,19015,30
210,20909,38,18873,29
220,20688,39,19046,31
220,19804,40,19886,32
220,19577,38,20081,32
220,19384,38,20253,31
220,19265,38,20312,31
220,19692,38,19910,30
220,20053,40,19568,31
220,20504,42,19112,33
220,20566,39,19053,31
220,20704,40,18973,32
