y-axis,value1,value2,value3,value4
0,21549,13,16195,48
0,21699,12,16104,49
0,21771,12,16023,48
0,21804,12,15982,48
0,21842,14,15963,49
0,21865,14,15973,48
0,21811,12,16020,48
0,21698,14,16112,50
0,21546,13,16211,48
0,21422,13,16306,48
10,22323,14,15428,48
10,21050,14,16734,46
10,21778,13,15951,49
10,20880,13,16835,47
10,21420,15,16404,48
10,21460,14,16300,48
10,22106,13,15679,48
10,21986,14,15802,47
10,22514,13,15351,48
10,21566,15,16182,47
20,22492,14,15287,46
20,21162,13,16618,47
20,20831,13,16927,48
20,20205,14,17447,48
20,20263,15,17332,47
20,20608,14,16993,48
20,21182,16,16408,47
20,21676,14,15879,46
20,22176,13,15484,45
20,21611,16,16055,48
30,22381,15,15412,46
30,20945,15,16837,47
30,20667,15,17118,49
30,20133,14,17625,47
30,19861,14,17901,48
30,20113,15,17555,48
30,21097,15,16630,47
30,21511,16,16202,46
30,22376,15,15461,46
30,22012,15,15745,46
40,22342,16,15408,46
40,20760,16,16848,46
40,20718,15,16912,47
40,20098,15,17540,47
40,19753,16,17881,47
40,20502,16,17204,47
40,21182,16,16517,44
40,21573,15,16095,45
40,22578,16,15231,47
40,22170,15,15573,47
50,21902,17,15919,47
50,20732,16,16994,46
50,20762,16,17036,47
50,20054,17,17708,45
50,19872,15,17810,47
50,20305,15,17343,46
50,20887,16,16827,46
50,21318,16,16411,45
50,22199,16,15513,46
50,21483,17,16231,45
60,21915,17,15894,45
60,20649,16,17142,44
60,20503,15,17215,46
60,19888,15,17757,45
60,19648,17,17979,46
60,20112,16,17488,46
60,20613,17,16994,45
60,21138,17,16503,42
60,21715,16,15932,45
60,21161,17,16470,45
70,21824,17,16037,45
70,20609,16,17110,45
70,20342,18,17344,47
70,19714,17,17947,45
70,19527,16,18149,46
70,19910,16,17734,45
70,20568,18,17077,44
70,20968,17,16628,44
70,21635,17,15908,45
70,21180,18,16379,43
80,21743,16,15946,44
80,20219,17,17408,44
80,19964,15,17651,45
80,19467,17,18249,45
80,19097,15,18472,43
80,19655,16,17920,45
80,20273,16,17268,44
80,20839,17,16669,44
80,21519,17,16002,44
80,21146,16,16358,44
90,21295,17,16450,44
90,20071,18,17697,42
90,19973,18,17763,44
90,19319,15,18405,44
90,19120,17,18579,43
90,19729,17,17965,44
90,20517,19,17231,46
90,20910,17,16781,42
90,21732,18,15960,43
90,21220,19,16396,43
100,21446,16,16028,42
100,20118,18,17343,43
100,19922,16,17565,43
100,19425,16,18031,43
100,19261,17,18244,43
100,20066,16,17474,42
100,20344,17,17182,41
100,21287,18,16264,41
100,21475,18,16030,42
100,21340,19,16154,42
110,21359,18,16432,43
110,20142,19,17561,42
110,19939,16,17777,42
110,19308,18,18314,42
110,19150,16,18391,42
110,19882,18,17698,43
110,20293,18,17222,41
110,21354,18,16276,42
110,21335,17,16290,42
110,21454,20,16269,41
120,21329,18,16387,41
120,19913,19,17777,41
120,19868,18,17777,41
120,19107,19,18573,42
120,19108,18,18587,42
120,19891,18,17747,42
120,20154,18,17455,41
120,21260,18,16432,41
120,21277,17,16412,42
120,21244,20,16375,40
130,21061,19,16527,40
130,19916,19,17667,42
130,19750,19,17876,42
130,19078,20,18570,41
130,19003,16,18585,42
130,19718,20,17882,41
130,20083,20,17457,40
130,21251,19,16275,43
130,21121,20,16422,41
130,21321,21,16301,42
140,21209,20,16504,40
140,19806,22,17951,41
140,19626,21,18056,40
140,18878,19,18691,40
140,18804,20,18733,42
140,19646,19,17890,41
140,19870,20,17579,41
140,20901,20,16475,41
140,20958,21,16523,40
140,21101,22,16407,41
150,20999,23,16718,41
150,19782,21,17880,41
150,19578,22,18048,42
150,18892,20,18772,40
150,18846,22,18758,41
150,19682,23,17961,42
150,20014,23,17578,41
150,21215,23,16436,41
150,21166,23,16442,42
150,21256,23,16353,42
160,20961,22,16694,41
160,19421,23,18111,41
160,19340,24,18208,43
160,18693,22,18918,41
160,18695,22,19023,41
160,19592,23,18126,42
160,19868,21,17828,43
160,20970,22,16724,40
160,20928,22,16636,41
160,20989,22,16591,41
170,20772,24,16768,40
170,19675,24,17935,43
170,19464,24,18172,42
170,18876,22,18801,41
170,18830,22,18809,41
170,19587,24,18016,42
170,19903,24,17702,42
170,21000,25,16521,41
170,20974,23,16611,42
170,21023,24,16563,41
180,20834,24,16501,40
180,19456,22,17896,42
180,19256,23,18065,41
180,18587,23,18676,42
180,18542,24,18899,42
180,19321,23,18130,40
180,19609,23,17831,40
180,20676,23,16673,40
180,20626,25,16698,40
180,20835,23,16604,39
190,20513,24,16956,40
190,19425,23,18056,39
190,19197,23,18294,41
190,18553,23,18904,40
190,18536,22,18968,39
190,19390,23,18177,41
190,19764,23,17798,41
190,20966,24,16673,41
190,20871,25,16793,41
190,21023,25,16627,40
200,20862,24,16604,39
200,19473,24,17999,39
200,19446,24,18214,41
200,18772,23,18763,40
200,18691,23,18803,39
200,19388,23,18053,41
200,19792,24,17755,40
200,20879,25,16670,40
200,20710,25,16692,40
200,20874,26,16546,40
210,20719,27,17009,41
210,19490,26,18117,42
210,19364,25,18248,42
210,18626,24,18948,39
210,18597,25,19004,42
210,19360,26,18263,40
210,19709,27,18044,42
210,20760,28,16911,43
210,20627,26,16959,42
210,20718,27,16873,43
220,20572,29,16690,44
220,19197,28,18149,45
220,19156,28,18326,45
220,18515,27,18886,44
220,18485,29,19075,44
220,19341,28,18234,43
220,19488,31,17952,48
220,20487,29,16865,45
220,20426,30,16784,46
220,20547,30,16857,46
230,20381,31,17038,49
230,19123,33,18096,48
230,19155,32,18382,49
230,18554,32,19136,47
230,18434,34,19104,50
230,19309,32,18359,48
230,19569,35,18027,50
230,20590,34,16876,49
230,20594,34,16904,50
230,20662,34,16865,50
240,20540,37,16750,52
240,19241,38,18124,51
240,19131,36,18240,53
240,18551,36,18896,50
240,18483,37,18971,53
240,19308,38,18170,52
240,19498,39,17886,53
240,20564,38,16867,53
240,20606,38,16874,54
240,20558,39,16883,53
250,20269,40,17172,53
250,19031,40,18212,55
250,18942,42,18472,55
250,18221,38,19204,54
250,18264,40,19197,56
250,18896,41,18409,54
250,19300,43,18013,56
250,20367,43,16876,53
250,20259,42,17029,56
250,20399,42,16801,55
260,20677,45,16858,55
260,19183,45,18266,57
260,19144,44,18349,55
260,18388,42,19082,56
260,18495,44,19078,57
260,19208,44,18190,57
260,19566,45,17765,55
260,20770,43,16744,56
260,20581,44,16770,56
260,20789,43,16666,55
270,20534,45,16938,54
270,19187,44,18067,54
270,19239,45,18236,55
270,18342,44,19117,56
270,18379,44,18890,56
270,19134,45,18131,56
270,19546,45,17802,55
270,20579,45,16616,53
270,20441,44,16690,53
270,20569,45,16546,54
280,20690,45,16711,55
280,19097,45,18161,55
280,19175,46,18133,56
280,18454,47,18988,56
280,18558,45,18786,55
280,19380,45,18046,55
280,19764,45,17709,54
280,20839,45,16549,54
280,20783,45,16657,54
280,20848,44,16549,53
290,20484,43,16860,52
290,19290,44,18146,54
290,19182,43,18090,54
290,18485,44,18938,53
290,18552,45,18833,53
290,19273,44,18046,53
290,19627,43,17712,52
290,20813,44,16631,51
290,20692,44,16771,53
290,20711,43,16586,52
300,20620,42,16610,50
300,19218,42,18028,52
300,19152,42,17989,52
300,18353,43,18702,50
300,18474,42,18683,51
300,19241,44,17813,52
300,19727,44,17609,50
300,20769,43,16565,50
300,20734,42,16527,50
300,20787,42,16456,51
310,20438,44,16860,50
310,19223,42,17863,49
310,19162,41,18046,51
310,18366,41,18782,50
310,18589,41,18703,51
310,19090,41,18003,51
310,19684,44,17623,50
310,20804,44,16460,51
310,20650,43,16867,50
310,20829,44,16464,51
320,20595,45,16687,52
320,19190,44,18072,51
320,19356,44,18113,52
320,18535,43,18949,52
320,18511,44,18717,52
320,19226,44,17916,52
320,19553,44,17609,55
320,20640,47,16606,52
320,20577,47,16695,53
320,20787,48,16679,52
330,20289,48,16996,54
330,19102,48,18058,53
330,19120,45,18039,53
330,18268,45,18957,53
330,18516,47,18759,54
330,19073,47,18125,53
330,19492,48,17814,54
330,20642,51,16736,56
330,20456,50,17016,57
330,20674,51,16833,55
340,20538,53,16824,57
340,19274,52,18373,57
340,19296,49,18292,56
340,18418,48,18996,55
340,18651,49,18937,57
340,19298,49,18115,57
340,19503,53,17761,57
340,20493,52,16700,59
340,20420,52,16837,58
340,20556,51,16730,58
350,20243,54,17073,58
350,19228,53,18222,60
350,19082,50,18216,57
350,18406,51,19177,58
350,18589,52,19032,59
350,19137,51,18337,57
350,19565,54,18081,60
350,20612,54,16846,60
350,20409,55,17072,59
350,20743,56,16934,59
360,20200,55,17098,60
360,18854,55,18592,62
360,18825,53,18506,60
360,18066,52,19340,58
360,18215,55,19093,60
360,18901,54,18488,60
360,19390,55,18187,62
360,20391,57,17011,62
360,20295,57,17202,62
360,20489,57,17016,62
370,20333,58,17255,63
370,19129,59,18248,63
370,19178,58,18405,62
370,18307,56,19267,61
370,18556,57,19051,62
370,19096,58,18443,63
370,19508,60,17877,64
370,20641,59,16720,64
370,20488,61,17049,65
370,20748,61,16751,66
380,20138,64,17098,67
380,18709,64,18568,69
380,18852,59,18610,67
380,18124,57,19477,66
380,18192,61,19368,68
380,18953,62,18618,67
380,19281,68,18273,71
380,20340,68,17213,70
380,20210,69,17373,72
380,20294,69,17126,70
390,19842,72,17449,75
390,18615,73,18580,76
390,18705,67,18511,70
390,17785,67,19439,70
390,18023,70,19149,74
390,18644,70,18550,74
390,19116,79,18182,82
390,20144,78,16933,78
390,20009,82,17199,81
390,20256,81,16996,80
400,20180,92,17030,91
400,18535,91,18473,92
400,18780,82,18390,84
400,18029,79,19250,83
400,18106,85,19026,89
400,18813,84,18325,87
400,19012,99,17860,99
400,20074,98,16826,94
400,20044,108,16942,102
400,20174,102,16781,100
410,19721,120,17337,114
410,18531,125,18525,126
410,18510,98,18623,101
410,17723,97,19392,103
410,18027,110,19024,111
410,18563,115,18362,114
410,18853,140,17983,140
410,20376,133,16572,123
410,19470,158,17552,149
410,20195,129,16831,121
420,19412,182,17612,174
420,18103,185,18944,184
420,18203,137,18913,138
420,17461,145,19739,151
420,17990,157,19173,160
420,18597,181,18562,178
420,19005,231,18013,220
420,20154,222,16882,201
420,19512,258,17383,233
420,19903,195,17104,182
430,19328,294,17655,272
430,18258,306,18550,296
430,18196,199,18852,197
430,17650,227,19329,229
430,18156,261,18712,255
430,18485,317,18116,299
430,18960,398,17509,360
430,20153,381,16234,323
430,19284,448,17088,392
430,19821,327,16654,288
440,19000,546,17254,483
440,17649,540,18642,519
440,17864,373,18724,363
440,17069,399,19431,404
440,17638,454,18664,439
440,18084,555,18007,514
440,18312,728,17338,649
440,19312,730,16341,607
440,18621,805,16828,693
440,19170,596,16714,510
450,18111,952,17228,840
450,17015,969,18148,923
450,17261,596,18746,580
450,16546,683,19224,692
450,17011,806,18467,779
450,17168,997,17790,929
450,17411,1263,16935,1120
450,18702,1234,15731,992
450,17602,1387,16425,1189
450,18516,1032,16343,864
460,17033,1724,16316,1497
460,15939,1622,17426,1554
460,16362,1158,18134,1127
460,15667,1293,18399,1307
460,16112,1467,17609,1407
460,16430,1923,16370,1718
460,16442,2269,15765,1960
460,17123,2396,14968,1921
460,16762,2321,15385,1937
460,17184,1835,15899,1552
470,15327,2703,15374,2415
470,14691,2619,16037,2503
470,15175,1863,17278,1840
470,14803,2188,17014,2173
470,14712,2506,16389,2435
470,14749,3284,14688,2901
470,14721,3581,14302,3106
470,15672,3541,13726,2817
470,14972,3529,14390,3029
470,15704,2891,14948,2472
480,13428,4291,13774,3897
480,12859,3976,14824,3991
480,13410,3183,15959,3276
480,13120,3411,15814,3541
480,12959,3965,14869,3969
480,12937,4733,13403,4329
480,12416,5370,12646,4850
480,13204,5465,12201,4535
480,12817,5191,12806,4611
480,13436,4383,13568,3934
490,11511,5974,12196,5604
490,10959,5720,12720,5834
490,11901,4415,14461,4660
490,11192,5007,13825,5372
490,10964,5569,13044,5803
