y-axis,value1,value2,value3,value4
0,21669,20,14066,29
0,21674,21,14011,29
0,21741,22,13930,28
0,21826,20,13843,28
0,21892,20,13778,28
0,21935,19,13744,27
0,22023,19,13742,28
0,22051,20,13738,29
0,21980,21,13783,27
0,21811,19,13901,27
10,22634,18,13097,28
10,20780,18,14856,28
10,21484,18,14164,27
10,20304,18,15280,27
10,20790,17,14841,28
10,20878,18,14649,27
10,21897,18,13763,27
10,21996,19,13725,27
10,22657,18,13171,27
10,21478,18,14123,27
20,22957,17,12811,27
20,20987,16,14549,26
20,20431,17,15022,25
20,19663,18,15780,26
20,19749,17,15738,27
20,20294,17,15262,26
20,21223,17,14414,27
20,22037,15,13570,26
20,22731,16,12958,26
20,22076,15,13562,26
30,22983,15,12666,25
30,20874,16,14490,24
30,20157,18,15132,25
30,19581,15,15694,24
30,19060,16,16261,25
30,19551,16,15749,25
30,20988,15,14424,25
30,21836,16,13664,24
30,22662,14,12934,24
30,22434,15,13051,24
40,22621,14,12817,25
40,20410,14,14823,25
40,20197,14,14919,25
40,19366,15,15750,26
40,18945,14,16201,24
40,19927,16,15145,24
40,21102,14,14104,24
40,21730,15,13576,24
40,23013,17,12360,24
40,22764,15,12650,26
50,22582,14,12754,25
50,20982,13,14133,25
50,20703,15,14299,24
50,19874,15,15089,25
50,19732,14,15197,25
50,20489,15,14557,25
50,21315,14,13706,25
50,22109,14,13110,26
50,23084,14,12191,25
50,22229,14,12842,28
60,22963,16,12166,29
60,21023,15,13809,28
60,20823,15,14116,28
60,20109,15,14806,27
60,19809,15,15090,27
60,20397,15,14407,27
60,21069,16,13745,28
60,21783,15,13211,30
60,22535,16,12466,30
60,21943,15,13065,30
70,22393,16,12584,32
70,20654,16,14050,32
70,19959,19,14684,33
70,19322,15,15437,29
70,18962,16,15748,30
70,19436,15,15221,32
70,20329,14,14273,32
70,21164,18,13555,33
70,22057,16,12900,32
70,21590,16,13330,34
80,22176,18,12897,37
80,19764,19,14961,35
80,19483,18,15297,36
80,18727,18,15825,34
80,18467,18,16149,35
80,19199,18,15533,35
80,20288,18,14543,37
80,20901,18,13867,36
80,22068,17,12925,36
80,21578,19,13296,36
90,21741,18,13077,39
90,19917,19,14761,38
90,19719,19,15056,37
90,18916,17,15768,37
90,18590,18,16128,37
90,19408,20,15320,38
90,20689,19,14303,39
90,21365,19,13585,40
90,22492,19,12618,39
90,21864,20,13041,40
100,21910,21,13285,40
100,19958,21,14827,40
100,19495,19,15423,38
100,18972,19,15892,38
100,18626,20,16024,38
100,19758,22,15222,40
100,20296,20,14770,40
100,21655,21,13509,40
100,21907,21,13300,41
100,21845,21,13331,41
110,21234,21,13939,41
110,19740,22,15307,40
110,19260,22,15820,41
110,18442,21,16416,39
110,18150,24,16629,40
110,19186,22,15698,40
110,19831,21,15184,39
110,21476,23,13585,40
110,21210,24,13989,40
110,21563,23,13584,40
120,21026,24,14067,39
120,19060,24,15929,40
120,18930,24,16211,41
120,17922,22,17030,40
120,18093,23,17065,39
120,19184,22,16051,39
120,19508,24,15417,39
120,21007,25,14149,37
120,20908,25,14107,38
120,21197,24,14118,38
130,20891,26,14433,38
130,19179,24,16067,38
130,18681,25,16246,38
130,17791,24,17157,37
130,17620,24,17272,38
130,18740,25,16337,40
130,19371,26,15852,38
130,20987,25,14146,39
130,20765,26,14362,36
130,21171,26,14171,38
140,20925,28,14040,36
140,18888,27,15990,35
140,18784,28,16392,37
140,17686,27,17129,38
140,17690,27,17138,37
140,19014,27,16128,38
140,19399,27,15513,36
140,20743,27,14156,37
140,20819,27,14114,36
140,21145,29,14063,37
150,20683,30,14184,36
150,19152,29,15768,37
150,18598,29,16234,37
150,17890,28,16953,39
150,17722,29,17154,39
150,18677,28,16149,37
150,19240,30,15707,38
150,20998,31,14042,37
150,20583,30,14311,36
150,21006,30,13982,37
160,20771,31,14168,38
160,18791,30,16102,37
160,18722,30,16429,39
160,17685,31,17290,38
160,17672,31,17186,39
160,18903,30,16230,38
160,19294,32,15601,39
160,20653,33,14216,38
160,20738,32,14115,39
160,21146,31,14069,39
170,20666,34,14315,39
170,19115,31,15973,39
170,18571,32,16293,39
170,17835,30,17123,39
170,17671,31,17184,38
170,18702,31,16279,40
170,19290,33,15780,40
170,21073,33,14096,40
170,20716,32,14190,40
170,20990,34,14069,40
180,20839,33,14154,41
180,18935,31,16132,41
180,18639,32,16376,42
180,17801,31,17220,39
180,17656,32,17344,41
180,18915,31,16383,41
180,19344,31,15826,42
180,20625,32,14346,41
180,20615,31,14308,42
180,20935,34,14360,42
190,20313,33,14843,43
190,18836,32,16478,43
190,18343,33,16925,43
190,17596,32,17729,41
190,17381,31,17811,43
190,18611,33,16799,42
190,19088,33,16346,46
190,20693,33,14461,43
190,20590,34,14816,44
190,20801,34,14561,45
200,20395,35,14837,46
200,18395,34,16776,47
200,18147,33,17057,45
200,17345,32,17831,45
200,17343,36,18064,47
200,18559,34,16996,45
200,18944,34,16334,47
200,20211,35,15122,49
200,20274,34,14983,48
200,20445,36,14914,49
210,20217,37,15395,52
210,18632,36,17019,51
210,18109,35,17226,49
210,17373,34,17945,48
210,17275,35,18068,49
210,18412,35,17018,50
210,18987,38,16663,52
210,20581,37,14877,54
210,20451,38,15126,53
210,20749,39,14907,54
220,20311,41,15153,58
220,18335,40,17021,58
220,18324,41,17344,56
220,17346,37,18023,52
220,17293,39,18087,56
220,18523,37,17093,55
220,18983,42,16557,59
220,20281,42,15143,59
220,20271,42,15147,60
220,20692,43,15057,59
230,20159,46,15592,63
230,18609,44,17083,63
230,18037,43,17401,60
230,17290,40,18110,59
230,17203,44,18225,64
230,18223,43,17214,62
230,18754,46,16902,65
230,20478,47,15083,63
230,20264,47,15518,66
230,20477,47,15168,65
240,20338,50,15410,67
240,18232,51,17498,70
240,17972,48,17577,68
240,17227,45,18391,65
240,17095,49,18375,67
240,18290,49,17357,70
240,18843,51,16866,70
240,20130,50,15429,68
240,20215,51,15391,69
240,20143,52,15200,69
250,20028,52,15441,69
250,18397,54,16867,72
250,18248,53,17467,71
250,17306,51,18112,71
250,17252,53,18053,71
250,18218,51,17027,71
250,18779,54,16423,71
250,20676,54,14963,67
250,20315,55,15129,68
250,20520,55,14822,69
260,20313,55,14989,68
260,18465,56,16995,71
260,18268,56,17272,71
