y-axis,value1,value2,value3,value4
0,21139,25,14053,17
0,21113,25,14103,16
0,21237,25,14129,15
0,21192,25,13953,16
0,21316,26,13828,16
0,21484,24,13701,16
0,21534,25,13553,16
0,21633,25,13495,16
0,21712,26,13485,17
0,21726,25,13503,16
10,22478,26,12784,20
10,20520,27,14424,21
10,21195,27,13981,20
10,19907,28,15195,19
10,20147,26,14777,20
10,20298,26,14773,21
10,21246,27,13911,21
10,21234,28,13803,21
10,21998,25,13157,20
10,21017,26,13954,21
20,22136,27,12848,24
20,20192,29,14810,24
20,20086,29,15003,23
20,18828,29,16185,23
20,19189,29,15645,26
20,19208,30,15609,24
20,20490,27,14181,24
20,21137,28,13700,26
20,21953,28,12881,25
20,21152,30,13571,24
30,22575,28,12588,27
30,20015,30,14831,25
30,19686,31,15244,25
30,19298,30,15720,26
30,18845,30,16201,26
30,19049,31,15884,25
30,20600,30,14392,26
30,20952,30,13905,26
30,21664,30,13292,26
30,21357,29,13463,25
40,22165,30,13104,24
40,19497,32,15278,24
40,19713,31,15012,25
40,18472,30,16380,26
40,18165,31,16543,23
40,19005,31,16039,23
40,20601,31,14591,25
40,20783,31,14368,22
40,22335,30,13064,25
40,21855,33,13427,24
50,21634,33,13478,18
50,19715,31,15436,20
50,19357,34,15661,20
50,18495,33,16377,22
50,18382,34,16411,20
50,19220,34,15637,20
50,20249,33,14615,20
50,21115,34,13834,20
50,22099,31,12889,20
50,21399,34,13514,18
60,22024,33,13058,16
60,20011,35,15051,18
60,20106,37,14952,18
60,18789,34,16017,17
60,18716,35,15947,17
60,19228,35,15608,17
60,20635,37,14311,18
60,20954,35,13942,16
60,22164,35,13092,16
60,21327,35,13753,18
70,22224,36,12970,18
70,20151,37,14813,16
70,19575,39,15490,17
70,18854,36,16228,17
70,18437,39,16326,16
70,19089,38,15861,17
70,20132,37,14673,17
70,20914,38,13901,17
70,21839,37,13160,18
70,21498,38,13568,17
80,22032,39,12738,19
80,19461,41,15066,19
80,19286,41,15063,18
80,18487,40,16155,16
80,18070,40,16405,18
80,18506,40,16051,18
80,19966,40,14459,19
80,20455,41,14118,21
80,21560,38,12977,17
80,21005,40,13452,20
90,21416,41,13308,22
90,19038,44,15073,22
90,18649,44,15438,21
90,18041,42,16136,22
90,17532,42,16499,24
90,18477,43,15712,22
90,19818,42,14670,24
90,20393,44,13985,25
90,21469,41,12976,23
90,21070,41,13291,25
100,20853,43,13326,27
100,18927,44,15283,28
100,18617,44,15329,25
100,17793,43,16330,25
100,17629,44,16281,26
100,18520,45,15642,26
100,19468,43,14813,27
100,20646,44,13782,27
100,21088,43,13336,27
100,20802,44,13706,27
110,20668,45,13965,32
110,18739,46,15882,31
110,18200,47,16040,30
110,17552,43,16565,28
110,17323,47,16792,29
110,18325,46,15876,30
110,19040,45,15060,29
110,20444,45,13752,31
110,20484,43,13951,32
110,20731,45,13710,30
120,20685,45,13973,33
120,18551,47,16083,33
120,18712,48,16088,32
120,17378,46,17166,31
120,17518,47,17044,32
120,18373,45,16082,31
120,19303,46,15334,33
120,20470,44,13955,32
120,20960,46,13999,32
120,20916,46,14090,32
130,20933,44,14113,32
130,18778,46,15859,30
130,18639,47,16431,31
130,17717,49,17078,32
130,17669,46,17583,31
130,18562,45,16287,32
130,19511,46,15779,33
130,20979,44,14192,31
130,20767,46,14248,31
130,21110,45,14101,30
140,21232,44,14205,31
140,18883,46,16135,30
140,18848,47,16382,31
140,17404,44,17469,32
140,17728,47,17640,29
140,18386,45,16535,29
140,19532,46,15600,32
140,20799,45,14597,31
140,21092,44,14316,31
140,20990,44,14267,30
150,20845,43,14309,30
150,18804,47,16295,28
150,18541,46,16875,28
150,17597,44,17631,28
150,17814,46,17717,29
150,18616,44,16583,28
150,19519,44,15922,29
150,21035,44,14383,29
150,20925,41,14373,28
150,21320,44,14297,26
160,20821,41,14202,27
160,18611,43,16338,27
160,18653,43,16345,26
160,17550,43,17731,27
160,17620,45,17515,28
160,18657,42,16671,28
160,19431,41,15643,29
160,20678,42,14428,27
160,20873,41,14273,28
160,20918,41,14173,28
170,20753,39,14108,29
170,19046,42,16246,27
170,18489,42,16588,28
170,17788,44,17549,27
170,17596,42,17440,28
170,18605,40,16305,28
170,19273,42,15867,28
170,20773,40,14133,27
170,20861,41,14332,29
170,20949,41,14000,28
180,20767,38,14396,29
180,18496,40,16430,30
180,18548,40,16540,28
180,17158,40,17674,28
180,17278,41,17690,29
180,18101,40,16693,28
180,19240,40,15697,29
180,20388,39,14568,29
180,20619,39,14297,30
180,20591,40,14318,30
190,20325,38,14368,32
190,18358,39,16573,32
190,17848,38,16742,33
190,17194,40,17451,31
190,17186,41,17802,32
190,18317,41,16648,32
190,18770,39,16022,35
190,20319,38,14505,32
190,20451,39,14392,32
190,20365,40,14247,33
200,20323,40,14449,35
200,18086,40,16728,37
200,18223,40,16652,34
200,17057,40,17888,35
200,17008,40,17702,38
200,17967,40,16768,35
200,19029,42,15858,38
200,19998,39,14775,37
200,20360,40,14526,37
200,20324,41,14703,38
210,19998,41,14919,40
210,17897,41,16821,42
210,17724,43,17282,41
210,16710,41,17950,39
210,16577,43,18077,41
210,17688,42,16906,40
210,18467,42,16676,42
210,19830,44,15077,42
210,20134,44,15052,42
210,20049,42,14794,41
220,19934,43,15247,43
220,17671,46,17288,45
220,17862,44,17371,46
220,16571,42,18329,44
220,16595,45,18286,46
220,17504,44,17354,45
220,18452,46,16413,46
220,19804,46,15301,47
220,20059,45,15136,45
220,19928,46,15216,47
230,19970,45,15376,49
230,17830,47,17183,49
230,17739,48,17726,49
230,16806,45,18446,47
230,16729,47,18594,51
230,17965,47,17600,50
230,18462,48,16880,50
230,20161,46,15452,51
230,19959,46,15335,50
230,20300,50,15316,50
240,20045,46,15324,52
240,17937,49,17566,53
240,17902,49,17397,53
240,16694,48,18537,51
240,16798,49,18420,52
240,17677,49,17475,52
240,18588,47,16524,52
240,19963,47,15405,53
240,20042,49,15291,51
240,20036,48,15215,53
250,20150,50,15453,54
250,18164,49,17263,54
250,17907,50,17847,54
250,16951,49,18530,52
250,16909,51,18590,54
250,17998,48,17404,54
250,18801,49,16887,53
250,20315,49,15274,54
250,20290,48,15445,54
250,20600,51,15106,53
260,20350,47,15157,53
260,18145,50,17185,54
260,18130,49,17287,54
260,17028,48,18537,54
260,17297,49,18460,55
260,18089,49,17399,53
260,18972,50,16429,53
260,20239,50,15228,54
260,20255,48,15112,54
260,20274,50,14992,53
270,20400,50,15210,53
270,18268,49,17065,54
270,17763,49,17188,53
270,16939,49,18248,54
270,17183,49,18301,54
270,18161,50,17303,53
270,18942,50,16579,53
270,20458,50,14953,53
270,20237,50,15105,52
270,20604,51,14722,52
280,20347,49,14975,52
280,18005,50,16902,52
280,18056,49,17014,52
280,16825,49,18067,53
280,16889,50,17873,52
280,17823,49,17046,52
280,18783,50,16076,51
280,20205,51,15005,52
280,20014,50,14821,54
280,20208,52,14674,52
290,20136,51,14914,52
290,18148,50,16884,51
290,17640,50,17114,51
290,16995,49,18257,51
290,16830,49,17997,50
290,17803,51,16992,53
290,18583,52,16076,51
290,20301,52,14879,53
290,20143,53,14904,52
290,20409,53,14584,52
300,20142,52,14972,53
300,18061,52,17113,53
300,18052,51,17131,52
300,16644,50,18255,49
300,16948,53,18006,50
300,17526,50,17064,52
300,18677,55,16075,52
300,20063,53,14998,52
300,19960,54,14901,53
300,20367,55,14825,52
310,19921,55,15214,53
310,17684,54,17087,52
310,17597,55,17419,52
310,16546,53,18228,52
310,16565,54,17939,52
310,17745,54,17080,52
310,18283,56,16342,53
310,19829,57,14744,53
310,19863,58,15024,54
310,19999,55,14609,52
