true_pos[mm],voltage_ratio[-](de=f0 mm),voltage_ratio[-](de=f2 mm),voltage_ratio[-](de=f4 mm),voltage_ratio[-](de=f6 mm),voltage_ratio[-](de=f8 mm),voltage_ratio[-](de=f10 mm)
0.165,1,1,1,0.99914,0.98989,0.96609
0.1675,1,1,1,0.99929,0.99098,0.96869
0.17,1,1,1,0.99941,0.99197,0.97111
0.1725,1,1,1,0.99951,0.99286,0.97337
0.175,1,1,1,0.9996,0.99365,0.97548
0.1775,1,1,1,0.99967,0.99437,0.97744
0.18,1,1,1,0.99973,0.99501,0.97926
0.1825,1,1,1,0.99978,0.99559,0.98096
0.185,1,1,1,0.99982,0.99611,0.98253
0.1875,1,1,1,0.99986,0.99657,0.98399
0.19,1,1,1,0.99989,0.99698,0.98534
0.1925,1,1,1,0.99991,0.99735,0.98659
0.195,1,1,1,0.99993,0.99767,0.98774
0.1975,1,1,1,0.99994,0.99795,0.98881
0.2,1,1,1,0.99996,0.99821,0.9898
0.2025,1,1,1,0.99997,0.99844,0.9907
0.205,1,1,1,0.99998,0.99864,0.99153
0.2075,1,1,1,0.99999,0.99882,0.9923
0.21,1,1,1,0.99999,0.99897,0.993
0.2125,1,1,1,1,0.99911,0.99365
0.215,1,1,1,1,0.99923,0.99424
0.2175,1,1,1,1,0.99933,0.99478
0.22,1,1,1,1,0.99942,0.99528
0.2225,1,1,1,1,0.9995,0.99574
0.225,1,1,1,1,0.99957,0.99615
0.2275,1,1,1,1,0.99964,0.99653
0.23,1,1,1,1,0.99968,0.99687
0.2325,1,1,1,1,0.99973,0.99718
0.235,1,1,1,1,0.99977,0.99747
0.2375,1,1,1,1,0.99981,0.99773
0.24,1,1,1,1,0.99984,0.99796
0.2425,1,1,1,1,0.99986,0.99818
0.245,1,1,1,1,0.99988,0.99837
0.2475,1,1,1,1,0.9999,0.99854
0.25,1,1,1,1,0.99992,0.9987
0.2525,1,1,1,1,0.99993,0.99884
0.255,1,1,1,1,0.99994,0.99897
0.2575,1,1,1,1,0.99995,0.99909
0.26,1,1,1,1,0.99997,0.99919
0.2625,1,1,1,1,0.99997,0.99929
0.265,1,1,1,1,0.99998,0.99937
0.2675,1,1,1,1,0.99999,0.99945
0.27,1,1,1,1,0.99999,0.99951
0.2725,1,1,1,1,0.99999,0.99957
0.275,1,1,1,1,1,0.99963
0.2775,1,1,1,1,1,0.99968
0.28,1,1,1,1,1,0.99972
0.2825,1,1,1,1,1,0.99976
0.285,1,1,1,1,1,0.99979
0.2875,1,1,1,1,1,0.99983
0.29,1,1,1,1,1,0.99985
0.2925,1,1,1,1,1,0.99987
0.295,1,1,1,1,1,0.9999
0.2975,1,1,1,1,1,0.99992
0.3,1,1,1,1,1,0.99992
